"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,Inf,1.85438371607974,Inf,Inf,NA,NA,Inf,NA,NA,"240 Months"
"Large_Cap: 1%,  Fixed: 99%",1,Inf,1.85255083908805,Inf,Inf,NA,NA,Inf,NA,NA,"240 Months"
"Large_Cap: 2%,  Fixed: 98%",2,Inf,1.85226215640561,Inf,Inf,NA,1.48973298061423,Inf,NA,0.711176356245175,"240 Months"
"Large_Cap: 3%,  Fixed: 97%",3,Inf,1.85351838955034,Inf,Inf,NA,1.61562625244691,Inf,NA,0.764534936968961,"240 Months"
"Large_Cap: 4%,  Fixed: 96%",4,Inf,1.8563164020319,Inf,Inf,NA,1.7335583158695,Inf,NA,0.812049991279493,"240 Months"
"Large_Cap: 5%,  Fixed: 95%",5,Inf,1.86064923835913,Inf,Inf,NA,1.84720993579452,Inf,NA,0.855439221808515,"240 Months"
"Large_Cap: 6%,  Fixed: 94%",6,Inf,1.86650620991803,Inf,Inf,NA,1.95722394626773,Inf,NA,0.895014444709426,"240 Months"
"Large_Cap: 7%,  Fixed: 93%",7,Inf,1.87387302526643,Inf,Inf,NA,2.06387150392761,Inf,NA,0.930956718380632,"240 Months"
"Large_Cap: 8%,  Fixed: 92%",8,Inf,1.88273196118888,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 9%,  Fixed: 91%",9,Inf,1.89306206983436,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 10%,  Fixed: 90%",10,Inf,1.90483941646306,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 11%,  Fixed: 89%",11,Inf,1.91803734178445,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 12%,  Fixed: 88%",12,Inf,1.93262674258383,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 13%,  Fixed: 87%",13,Inf,1.94857636430375,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 14%,  Fixed: 86%",14,Inf,1.9658530994453,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 15%,  Fixed: 85%",15,Inf,1.98442228605116,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 16%,  Fixed: 84%",16,Inf,2.00424800108589,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 17%,  Fixed: 83%",17,Inf,2.02529334419473,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 18%,  Fixed: 82%",18,Inf,2.04752070805757,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 19%,  Fixed: 81%",19,Inf,2.07089203231652,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 20%,  Fixed: 80%",20,Inf,2.09536903880962,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 21%,  Fixed: 79%",21,Inf,2.12091344655888,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 22%,  Fixed: 78%",22,Inf,2.14748716561683,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 23%,  Fixed: 77%",23,Inf,2.17505246945588,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 24%,  Fixed: 76%",24,Inf,2.20357214608138,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 25%,  Fixed: 75%",25,Inf,2.23300962845834,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 26%,  Fixed: 74%",26,Inf,2.2633291051661,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 27%,  Fixed: 73%",27,Inf,2.29449561243834,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 28%,  Fixed: 72%",28,Inf,2.32647510891648,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 29%,  Fixed: 71%",29,Inf,2.35923453455131,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 30%,  Fixed: 70%",30,Inf,2.3927418551389,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 31%,  Fixed: 69%",31,Inf,2.42696609398441,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 32%,  Fixed: 68%",32,Inf,2.46187735215806,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 33%,  Fixed: 67%",33,Inf,2.49744681875111,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 34%,  Fixed: 66%",34,Inf,2.53364677246329,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 35%,  Fixed: 65%",35,Inf,2.57045057576288,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 36%,  Fixed: 64%",36,Inf,2.60783266276197,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 37%,  Fixed: 63%",37,Inf,2.64576852184749,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 38%,  Fixed: 62%",38,Inf,2.6842346740053,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 39%,  Fixed: 61%",39,Inf,2.72320864767429,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 40%,  Fixed: 60%",40,Inf,2.7626689508709,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 41%,  Fixed: 59%",41,Inf,2.8025950412335,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 42%,  Fixed: 58%",42,Inf,2.84296729455151,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 43%,  Fixed: 57%",43,Inf,2.88376697226646,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
"Large_Cap: 44%,  Fixed: 56%",44,Inf,2.92497618836164,Inf,Inf,NA,Inf,Inf,NA,Inf,"240 Months"
