"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 0%,  Fixed: 100%",0,1.97936272350719,1.85438371607974,1.06739651903958,1.07769602533698,1.04870643614438,"240 Months"
"Large_Cap: 1%,  Fixed: 99%",1,2.05437263509217,1.85255083908805,1.10894264910078,1.11690642214485,1.08600025808969,"240 Months"
"Large_Cap: 2%,  Fixed: 98%",2,2.12680951751706,1.85226215640561,1.14822273411028,1.15410955571681,1.12147029092365,"240 Months"
"Large_Cap: 3%,  Fixed: 97%",3,2.19702034580945,1.85351838955034,1.18532427743673,1.18934825511321,1.15513961337607,"240 Months"
"Large_Cap: 4%,  Fixed: 96%",4,2.26528104008693,1.8563164020319,1.22030976917911,1.22265200122006,1.18702220767013,"240 Months"
"Large_Cap: 5%,  Fixed: 95%",5,2.3318154567021,1.86064923835913,1.2532267816144,1.25404327338023,1.21712804782932,"240 Months"
"Large_Cap: 6%,  Fixed: 94%",6,2.39680825072799,1.86650620991803,1.28411480122171,1.28354201013765,1.24546670481425,"240 Months"
"Large_Cap: 7%,  Fixed: 93%",7,2.46041388877787,1.87387302526643,1.31300992948978,1.31116874865331,1.27204989064815,"240 Months"
"Large_Cap: 8%,  Fixed: 92%",8,2.52276314421904,1.88273196118888,1.33994811594211,1.33694679582961,1.29689320887176,"240 Months"
"Large_Cap: 9%,  Fixed: 91%",9,2.58396789014974,1.89306206983436,1.36496733589715,1.36090366475085,1.3200172910944,"240 Months"
"Large_Cap: 10%,  Fixed: 90%",10,2.64412470866529,1.90483941646306,1.38810898483765,1.38307194052658,1.34144844857404,"240 Months"
"Large_Cap: 11%,  Fixed: 89%",11,2.70331765695874,1.91803734178445,1.40941867922327,1.40348969791324,1.36121893742934,"240 Months"
"Large_Cap: 12%,  Fixed: 88%",12,2.76162042016859,1.93262674258383,1.42894660376914,1.42220056708656,1.37936691725586,"240 Months"
"Large_Cap: 13%,  Fixed: 87%",13,2.8190980099574,1.94857636430375,1.44674751351851,1.43925352679649,1.39593617044893,"240 Months"
"Large_Cap: 14%,  Fixed: 86%",14,2.87580812109302,1.9658530994453,1.46288047764326,1.45470249192363,1.41097564046609,"240 Months"
"Large_Cap: 15%,  Fixed: 85%",15,2.93180222680647,1.98442228605116,1.47740843640721,1.4686057529142,1.4245388399088,"240 Months"
"Large_Cap: 16%,  Fixed: 84%",16,2.98712647201345,2.00424800108589,1.49039763063006,1.48102531644448,1.43668317275144,"240 Months"
"Large_Cap: 17%,  Fixed: 83%",17,3.04182240827294,2.02529334419473,1.50191695291548,1.49202618930398,1.44746920885491,"240 Months"
"Large_Cap: 18%,  Fixed: 82%",18,3.09592760350299,2.04752070805757,1.51203726112251,1.50167564060034,1.45695994291136,"240 Months"
"Large_Cap: 19%,  Fixed: 81%",19,3.14947615161297,2.07089203231652,1.52083068671133,1.51004247089823,1.46522006417535,"240 Months"
"Large_Cap: 20%,  Fixed: 80%",20,3.20249910143847,2.09536903880962,1.52836996353531,1.51719631083605,1.47231525782484,"240 Months"
"Large_Cap: 21%,  Fixed: 79%",21,3.25502482007152,2.12091344655888,1.53472779634298,1.52320696619114,1.47831155366724,"240 Months"
"Large_Cap: 22%,  Fixed: 78%",22,3.30707930244811,2.14748716561683,1.53997628269793,1.52814382136283,1.48327473326129,"240 Months"
"Large_Cap: 23%,  Fixed: 77%",23,3.35868643659865,2.17505246945588,1.54418639723154,1.53207530887163,1.48726980243914,"240 Months"
"Large_Cap: 24%,  Fixed: 76%",24,3.40986823207927,2.20357214608138,1.54742754311133,1.53506844876419,1.49036053272821,"240 Months"
"Large_Cap: 25%,  Fixed: 75%",25,3.46064501764027,2.23300962845834,1.54976717231152,1.5371884587676,1.4926090723004,"240 Months"
"Large_Cap: 26%,  Fixed: 74%",26,3.51103561304331,2.2633291051661,1.55127047367052,1.53849843362686,1.49407562479715,"240 Months"
"Large_Cap: 27%,  Fixed: 73%",27,3.56105747903874,2.29449561243834,1.55200012575071,1.53905909023797,1.49481819265443,"240 Months"
"Large_Cap: 28%,  Fixed: 72%",28,3.61072684879859,2.32647510891648,1.55201611010583,1.53892857389269,1.49489238032195,"240 Months"
"Large_Cap: 29%,  Fixed: 71%",29,3.66005884352855,2.35923453455131,1.5513755796325,1.53816232010764,1.49435125197221,"240 Months"
"Large_Cap: 30%,  Fixed: 70%",30,3.70906757452242,2.3927418551389,1.55013277615236,1.53681296604546,1.49324523785579,"240 Months"
"Large_Cap: 31%,  Fixed: 69%",31,3.75776623354895,2.42696609398441,1.54833899116395,1.53493030537557,1.49162208331075,"240 Months"
"Large_Cap: 32%,  Fixed: 68%",32,3.80616717315804,2.46187735215806,1.54604256374575,1.53256128049923,1.48952683451319,"240 Months"
"Large_Cap: 33%,  Fixed: 67%",33,3.85428197824413,2.49744681875111,1.54328890982012,1.52975000631632,1.48700185530195,"240 Months"
"Large_Cap: 34%,  Fixed: 66%",34,3.9021215299998,2.53364677246329,1.54012057734711,1.52653782008731,1.48408686977605,"240 Months"
"Large_Cap: 35%,  Fixed: 65%",35,3.94969606322342,2.57045057576288,1.53657732246075,1.52296335239875,1.48081902580383,"240 Months"
"Large_Cap: 36%,  Fixed: 64%",36,3.99701521780349,2.60783266276197,1.53269620205241,1.51906261473889,1.47723297506518,"240 Months"
"Large_Cap: 37%,  Fixed: 63%",37,4.0440880850852,2.64576852184749,1.52851167881508,1.5148690997034,1.47336096574575,"240 Months"
"Large_Cap: 38%,  Fixed: 62%",38,4.09092324972525,2.6842346740053,1.52405573526884,1.51041389035882,1.46923294449317,"240 Months"
"Large_Cap: 39%,  Fixed: 61%",39,4.13752882755883,2.72320864767429,1.51935799377415,1.50572577577785,1.46487666471696,"240 Months"
"Large_Cap: 40%,  Fixed: 60%",40,4.18391249993186,2.7626689508709,1.51444583999575,1.50083137021543,1.46031779875487,"240 Months"
"Large_Cap: 41%,  Fixed: 59%",41,4.23008154489216,2.8025950412335,1.50934454769833,1.49575523381223,1.45558005183309,"240 Months"
"Large_Cap: 42%,  Fixed: 58%",42,4.27604286558259,2.84296729455151,1.50407740313353,1.49051999308771,1.45068527611289,"240 Months"
"Large_Cap: 43%,  Fixed: 57%",43,4.32180301613568,2.88376697226646,1.49866582761332,1.48514645981956,1.44565358344091,"240 Months"
"Large_Cap: 44%,  Fixed: 56%",44,4.36736822533252,2.92497618836164,1.4931294971597,1.4796537471987,1.44050345570475,"240 Months"
"Large_Cap: 45%,  Fixed: 55%",45,4.41274441825615,2.96657787599327,1.48748645837543,1.47405938240263,1.43525185194244,"240 Months"
"Large_Cap: 46%,  Fixed: 54%",46,4.45793723614275,3.00855575415935,1.48175323989912,1.46837941494662,1.42991431156555,"240 Months"
"Large_Cap: 47%,  Fixed: 53%",47,4.50295205460976,3.05089429465203,1.47594495899221,1.46262852035572,1.42450505323441,"240 Months"
"Large_Cap: 48%,  Fixed: 52%",48,4.54779400041947,3.09357868949501,1.47007542296002,1.45682009885361,1.41903706907398,"240 Months"
"Large_Cap: 49%,  Fixed: 51%",49,4.59246796691884,3.13659481902866,1.46415722523607,1.45096636889113,1.41352221404238,"240 Months"
"Large_Cap: 50%,  Fixed: 50%",50,4.63697862828039,3.17992922077201,1.45820183606308,1.44507845544034,1.40797129036585,"240 Months"
"Large_Cap: 51%,  Fixed: 49%",51,4.68133045265555,3.22356905916164,1.452219687787,1.43916647306298,1.40239412703484,"240 Months"
"Large_Cap: 52%,  Fixed: 48%",52,4.72552771433973,3.26750209624283,1.44622025484648,1.43323960382765,1.39679965442103,"240 Months"
"Large_Cap: 53%,  Fixed: 47%",53,4.76957450503796,3.31171666336671,1.44021212859109,1.42730617020091,1.39119597412508,"240 Months"
"Large_Cap: 54%,  Fixed: 46%",54,4.81347474431061,3.35620163392972,1.43420308709956,1.42137370307556,1.38559042420295,"240 Months"
"Large_Cap: 55%,  Fixed: 45%",55,4.85723218927057,3.40094639717635,1.42820016019756,1.4154490051274,1.37998963994689,"240 Months"
"Large_Cap: 56%,  Fixed: 44%",56,4.90085044359614,3.44594083307352,1.42220968989329,1.40953820971108,1.37439961041639,"240 Months"
"Large_Cap: 57%,  Fixed: 43%",57,4.94433296591728,3.49117528825502,1.4162373864615,1.40364683551772,1.36882573092736,"240 Months"
"Large_Cap: 58%,  Fixed: 42%",58,4.98768307762747,3.53664055302543,1.41028838041252,1.3977798372238,1.36327285171478,"240 Months"
"Large_Cap: 59%,  Fixed: 41%",59,5.0309039701682,3.58232783940664,1.40436727058501,1.39194165236259,1.35774532298686,"240 Months"
"Large_Cap: 60%,  Fixed: 40%",60,5.07399871182876,3.62822876020437,1.39847816859898,1.38613624464815,1.35224703658759,"240 Months"
"Large_Cap: 61%,  Fixed: 39%",61,5.11697025409981,3.67433530906787,1.39262473990103,1.38036714397725,1.34678146448136,"240 Months"
"Large_Cap: 62%,  Fixed: 38%",62,5.15982143761597,3.72063984151301,1.38681024162707,1.37463748332849,1.34135169426724,"240 Months"
"Large_Cap: 63%,  Fixed: 37%",63,5.2025549977191,3.76713505687645,1.38103755749942,1.3689500327696,1.3359604619235,"240 Months"
"Large_Cap: 64%,  Fixed: 36%",64,5.24517356967129,3.81381398116681,1.37530922996579,1.36330723077519,1.33061018197458,"240 Months"
