Allocation,Spread_num,STD_DEV,RRR_mean,RRR_std,Annual_RRR_mean,Annual_RRR_std,Arith_Mean,Arith_STD_DEV,Arith_Sharpe_with,Arith_Sharpe_without,Geom_Mean,Geom_STD_DEV,Geom_Sharpe_with,Geom_Sharpe_without
Folio 0/100,0,0.0604012143488243,19.4667007659855,8.81497408399457,0.0997438327668752,0.0186989623310168,0.0600544131661272,0.0258368451493186,0.05601988791689,2.16821704016628,0.0582088525952804,0.0248512778774087,0.954232972877507,2.16909425167074
Folio 1/99,1,0.060088684187955,19.7943399386099,8.71311063386294,0.100634299799696,0.0180481043134773,0.0607210207598739,0.0255628311419497,0.0566864955106367,2.21753589013119,0.0588935907127781,0.0245831155995834,0.976260798979135,2.22060958412375
Folio 2/98,2,0.0598448667156284,20.0938475519529,8.66632300936828,0.101382824828294,0.0175660366287354,0.0613876283536205,0.0252893779739868,0.0573531031043834,2.26787322184745,0.0595752097734167,0.0243162526984393,0.996459601802054,2.27301146497145
Folio 3/97,3,0.0596702385289988,20.4179604935531,8.5223555943896,0.102258147865447,0.0168497057915668,0.0620542359473672,0.0250165040368926,0.0580197106981301,2.31925734357473,0.0602537162818162,0.0240506979648378,1.01464515384936,2.32632033211234
Folio 4/96,4,0.0595646275927373,20.6816060913769,8.36528592330268,0.10297359398235,0.016229592826141,0.0627208435411139,0.0247442284935684,0.0586863182918768,2.37171744138762,0.0609291165119011,0.0237864611255981,1.03070537730832,2.38055705757097
Folio 5/95,5,0.0595272737726289,20.9449461217709,8.20831234063209,0.103659267181229,0.015659601615255,0.0633874511348606,0.0244725713167486,0.0593529258856235,2.42528360086965,0.0616014165110888,0.0235235528722501,1.04459953231005,2.43574294314867
Folio 6/94,6,0.05955691711286,21.1500225187763,8.15458020829725,0.104124207328419,0.0153799315840392,0.0640540587286073,0.024201553329531,0.0600195334793701,2.47998682820633,0.0622706221042313,0.0232619848918096,1.05635110747548,2.49189971402311
Folio 7/93,7,0.0596518992296083,21.335977719777,8.11106719276966,0.104539660977011,0.0151262398871467,0.0647206663223539,0.0239311962481671,0.0606861410731168,2.5358590704702,0.062936738897326,0.0230017698996344,1.06603670026515,2.54904951003518
Folio 8/92,8,0.0598102655467944,21.5738553122447,8.03365493327132,0.105082703011739,0.0147483706244557,0.0653872739161006,0.0236615227272422,0.0613527486668635,2.59293323486008,0.063599772281007,0.0227429216744217,1.07377301214326,2.60721487437447
Folio 9/91,9,0.0600298597780228,21.8701929076131,8.06062021820994,0.105651583154183,0.0145611732453573,0.0660538815098473,0.0233925564073848,0.0620193562606102,2.6512432066224,0.0642597274338287,0.0224854550954113,1.07970365937286,2.66641873934511
Folio 10/90,10,0.0603084056498327,22.1377822450652,8.03676028445127,0.10619170910589,0.0142985022917245,0.066720489103594,0.0231243219656474,0.0626859638543569,2.7108238653432,0.0649166093253528,0.0222293861818613,1.08398705440099,2.72668440886102
Folio 11/89,11,0.0606435737275352,22.434096398794,7.92091174555405,0.106828475929141,0.0138824723411552,0.0673870966973407,0.0228568451687132,0.0633525714481036,2.77171109925623,0.065570422719047,0.0219747321348661,1.08678619241975,2.78803553728503
Folio 12/88,12,0.0610330332390315,22.6798882919654,7.82043289655258,0.107354789866006,0.0135112382035289,0.0680537042910874,0.0225901529290861,0.0640191790418503,2.83394181716326,0.0662211721750061,0.0217215113815866,1.08826077419712,2.85049610418788
Folio 13/87,13,0.0614744901027555,22.9439491080305,7.7827546435736,0.107862879938016,0.0132694240106529,0.0687203118848341,0.0223242733644307,0.0646857866355969,2.89755395750801,0.0668688620525024,0.0214697436219651,1.08856172902585,2.91409038456206
Folio 14/86,14,0.0619657131013178,23.1230771001459,7.75029426540396,0.108204929471867,0.0131056615133911,0.0693869194785807,0.0220592358602362,0.0653523942293436,2.96258649408375,0.0675134965123733,0.0212194498779978,1.08782791389886,2.97884291398117
Folio 15/85,15,0.0625045504392201,23.4256023610787,7.67573781816292,0.108790326748239,0.0127771256468236,0.0700535270723274,0.0217950711359837,0.0660190018230903,3.02907943778595,0.0681550795192535,0.0209706525456335,1.08618458845213,3.04477844814741
Folio 16/84,16,0.0630889389053216,23.6092379891195,7.65094647744634,0.109135102057093,0.012589975781601,0.0707201346660741,0.0215318113150059,0.066685609416837,3.0970738337449,0.0687936148436575,0.0207233754493727,1.08374320055319,3.11192191621894
Folio 17/83,17,0.0637169076417869,23.7885996313834,7.51018374695985,0.109526319507976,0.0122261281865666,0.0713867422598208,0.0212694899982299,0.0673522170105837,3.16661175308805,0.0694291060639188,0.0204776438996293,1.08060203935489,3.18029836725389
Folio 18/82,18,0.064386578197991,23.956395124942,7.42441302718456,0.109862180228496,0.0119716059520185,0.0720533498535675,0.0210081423420053,0.0680188246043304,3.23773627848704,0.0700615565679905,0.0202334847529211,1.07684738565809,3.24993290904949
Folio 19/81,19,0.065096162194567,24.1722156747552,7.33053583308263,0.110278061358885,0.0116854929999514,0.0727199574473142,0.0207478051402184,0.068685432198077,3.31049148253925,0.070690969555113,0.0199909264749436,1.07255488143356,3.32085063859349
Folio 20/80,20,0.0658439575887892,24.3375591833936,7.26343450400141,0.110591007902137,0.0114733693323027,0.0733865650410608,0.0204885169109029,0.0693520397918237,3.38492239791736,0.071317348037353,0.0197499992065768,1.0677909292184,3.39307656327988
Folio 21/79,21,0.0666283442447746,24.6720950524181,7.22022138509528,0.111167077100023,0.01122538078144,0.0740531726348075,0.0202303179875551,0.0700186473855704,3.46107497809194,0.0719406948410177,0.0195107348328649,1.06261400616881,3.46663551197293
