Date,Folio 0/100,Folio 1/99,Folio 2/98,Folio 3/97,Folio 4/96,Folio 5/95,Folio 6/94,Folio 7/93,Folio 8/92,Folio 9/91,Folio 10/90,Folio 11/89,Folio 12/88,Folio 13/87,Folio 14/86,Folio 15/85,Folio 16/84,Folio 17/83,Folio 18/82,Folio 19/81,Folio 20/80,Folio 21/79,Folio 22/78,Folio 23/77,Folio 24/76,Folio 25/75,Folio 26/74,Folio 27/73,Folio 28/72,Folio 29/71,Folio 30/70,Folio 31/69,Folio 32/68,Folio 33/67,Folio 34/66,Folio 35/65,Folio 36/64,Folio 37/63,Folio 38/62,Folio 39/61,Folio 40/60,Folio 41/59,Folio 42/58,Folio 43/57,Folio 44/56,Folio 45/55,Folio 46/54,Folio 47/53,Folio 48/52,Folio 49/51,Folio 50/50,Folio 51/49,Folio 52/48,Folio 53/47,Folio 54/46,Folio 55/45,Folio 56/44,Folio 57/43,Folio 58/42,Folio 59/41,Folio 60/40,Folio 61/39,Folio 62/38,Folio 63/37,Folio 64/36,Folio 65/35,Folio 66/34,Folio 67/33,Folio 68/32,Folio 69/31,Folio 70/30,Folio 71/29,Folio 72/28,Folio 73/27,Folio 74/26,Folio 75/25,Folio 76/24,Folio 77/23,Folio 78/22,Folio 79/21,Folio 80/20,Folio 81/19,Folio 82/18,Folio 83/17,Folio 84/16,Folio 85/15,Folio 86/14,Folio 87/13,Folio 88/12,Folio 89/11,Folio 90/10,Folio 91/9,Folio 92/8,Folio 93/7,Folio 94/6,Folio 95/5,Folio 96/4,Folio 97/3,Folio 98/2,Folio 99/1,Folio 100/0
1926-01-01,0.921532042639218,0.897912627293211,0.88328846150367,0.876553733853285,0.876607477134782,0.88239264668728,0.892929573667959,0.907338680345784,0.924851403501394,0.944811060139987,0.966666595173699,0.989962169765576,1.01432496075147,1.03945279549488,1.06510258672835,1.09108004347111,1.11723081454646,1.14343303414309,1.16959114309882,1.19563082106914,1.22149485912525,1.24713981374165,1.27253330196557,1.29765181837189,1.32247897437103,1.34700407826979,1.37122098976707,1.39512719532417,1.41872306132251,1.44201123042221,1.46499613338606,1.48768359412732,1.51008051013595,1.53219459394818,1.55403416412912,1.57560797647741,1.59692508795277,1.61799474726144,1.63882630718511,1.65942915466355,1.6798126553854,1.69998611024258,1.71995872148915,1.73973956683929,1.75933758005871,1.77876153686385,1.79802004515545,1.8171215387866,1.83607427420703,1.85488632944221,1.87356560496141,1.89211982606754,1.9105565465068,1.92888315304985,1.94710687084032,1.96523476934363,1.98327376875933,2.00123064678577,2.01911204564663,2.03692447930669,2.05467434081882,2.07236790975627,2.09001135969453,2.10761076571583,2.12517211191631,2.14270129890193,2.16020415126459,2.17768642503386,2.1951538151037,2.21261196263667,2.2300664624508,2.24752287039681,2.26498671073539,2.28246348352632,2.29995867204293,2.31747775022694,2.33502619020064,2.35260946985452,2.37023308053047,2.38790253482191,2.40562337451413,2.42340117868982,2.44124157202661,2.45915023331566,2.47713290423241,2.49519539839325,2.51334361073458,2.53158352725369,2.54992123515448,2.56836293344477,2.58691494403632,2.60558372340346,2.62437587486173,2.64329816153425,2.66235752008034,2.68156107526911,2.70091615548961,2.72043030929962,2.74011132312702,2.75996724025118,2.78000638120726
1926-02-01,0.932484044402678,0.908359389909611,0.893294306707067,0.88617123022831,0.885880659899975,0.891359286444651,0.901622641825913,0.915787237290305,0.933081132215421,0.952844615677616,0.974523876601316,0.997660568752048,1.02187960694389,1.04687680085573,1.07240728382357,1.0982752114228,1.12432488767882,1.15043329038127,1.17650387105192,1.20246146613534,1.22824814987282,1.25381987033064,1.27914372858966,1.30419578171981,1.32895927000701,1.35342318667001,1.37758112355824,1.40143033907617,1.42497100506093,1.44820559785719,1.47113840570239,1.49377513004951,1.51612256286809,1.53818832549236,1.5599806574039,1.58150824558936,1.60278008691623,1.62380537741334,1.64459342350143,1.6651535711502,1.68549514968839,1.70562742759873,1.72555957811922,1.7453006528691,1.76485956204008,1.78424505995595,1.80346573501761,1.82253000322554,1.84144610461503,1.8602221020569,1.87886588197326,1.89738515659717,1.91578746747093,1.93408018993175,1.95227053837842,1.97036557214988,1.98837220187719,2.0062971961962,2.02414718872943,2.04192868526337,2.05964807106227,2.07731161827182,2.09492549337641,2.11249576468239,2.13002840980692,2.14752932315823,2.16500432339819,2.18245916088249,2.19989952507754,2.21733105195635,2.23475933137835,2.2521899144608,2.2696283209513,2.28708004661311,2.30455057063665,2.32204536309219,2.33956989244064,2.35712963312054,2.37473007323113,2.39237672233314,2.41007511939038,2.42783084087705,2.44564950907778,2.46353680060924,2.48149845519467,2.4995402847248,2.517668182642,2.53588813368684,2.55420622405033,2.57262865197846,2.59116173888036,2.60981194099591,2.62858586168446,2.64749026440223,2.6665320864432,2.68571845352616,2.70505669531983,2.72455436200804,2.74421924200925,2.76405938097787,2.78408310223068
1926-03-01,0.940844109580508,0.91635435570702,0.900982313512489,0.89359814543198,0.893082987291993,0.898366457218367,0.90845872022975,0.922472142245376,0.939631500230646,0.959274418957388,0.980844882417308,1.00388269723561,1.02801122185027,1.05292495294198,1.07837791780349,1.10417334290654,1.13015475431917,1.1561984804685,1.18220743235412,1.20810599753285,1.23383587813397,1.25935271416884,1.28462335192266,1.3096236378251,1.33433663804635,1.35875120184712,1.38286080198427,1.40666259824841,1.43015668071359,1.45334545781666,1.47623316127217,1.49882544535996,1.52112906255038,1.54315160097342,1.56490127206688,1.58638673900117,1.60761697828811,1.62860116843103,1.64934860063746,1.66986860755095,1.69017050671214,1.7102635560675,1.73015691933621,1.74985963944417,1.76938061855855,1.78872860351952,1.80791217568118,1.8269397443496,1.84581954314969,1.86455962877079,1.88316788163825,1.90165200813778,1.92001954408581,1.9382778591931,1.95643416231441,1.97449550731386,1.99246879940706,2.01036080186644,2.02817814299795,2.04592732331482,2.06361472284918,2.08124660855455,2.09882914176285,2.11636838566787,2.13387031281494,2.15134081258234,2.16878569864518,2.18621071641723,2.20362155046937,2.22102383192726,2.23842314585289,2.2558250386177,2.27323502527682,2.29065859695607,2.30810122826498,2.32556838475121,2.34306553041269,2.36059813528612,2.37817168313147,2.39579167923413,2.41346365834776,2.43119319280301,2.4489859008088,2.4668474549753,2.48478359108969,2.50280011717858,2.52090292289345,2.53909798925882,2.557391398826,2.57578934627943,2.5942981495466,2.61292426146779,2.63167428208693,2.65055497163156,2.6695732642564,2.68873628263351,2.70805135348074,2.72752602413086,2.74716808025528,2.76698556487026,2.78698679876877
1926-04-01,0.94898283311726,0.92428081400682,0.908747220075411,0.901242992962677,0.900641888195053,0.905867667309461,0.915925827675154,0.929924961000497,0.947086734868201,0.966746168305127,0.988345035369391,1.01142125686027,1.03559657966597,1.06056412567632,1.08607675344499,1.11193670009436,1.13798665791332,1.16410225570109,1.19018581982071,1.21616125121358,1.24196984854679,1.26756691862802,1.29291903371106,1.31800181590355,1.34279814873231,1.367296733709,1.39149092502398,1.41537778828805,1.43895733976282,1.46223193107641,1.48520575132607,1.5078844240159,1.53027468071959,1.55238409691094,1.57422087824423,1.59579368783742,1.6171115069284,1.63818352273069,1.65901903848376,1.67962740163321,1.70001794683274,1.72019995107159,1.74018259872507,1.75997495472715,1.77958594438942,1.79902433865602,1.81829874380048,1.83741759474707,1.85638915134431,1.87522149703694,1.89392253948048,1.91250001272282,1.93096148064386,1.94931434139878,1.96756583265602,1.98572303745882,2.00379289056983,2.02178218518482,2.03969757992263,2.05754560601663,2.0753326746479,2.09306508437293,2.11074902860881,2.12839060314806,2.14599581368234,2.16357058332038,2.18112076009115,2.19865212442719,2.21617039662723,2.23368124430025,2.25119028979609,2.2687031176301,2.28622528191152,2.30376231378746,2.32131972891579,2.33890303498243,2.35651773927969,2.37416935636444,2.39186341581595,2.40960547011538,2.42740110267033,2.44525593600976,2.46317564017651,2.48116594134686,2.49923263070876,2.51738157363292,2.53561871917381,2.55395010994082,2.572381892383,2.5909203275352,2.60957180227741,2.62834284116423,2.64724011888698,2.66627047343728,2.68544092004797,2.70475866599553,2.72423112635735,2.74386594082764,2.76367099170807,2.7836544232028,2.80382466216357
1926-05-01,0.954335078942131,0.929610605156415,0.914093222636859,0.9066392988613,0.906118015324125,0.91144877226136,0.92163306081251,0.935775896788774,0.953095824996781,0.972925182276558,0.994703467949791,1.01796669249472,1.0423350109551,1.06750022717846,1.09321411430519,1.11927802000313,1.14553391115069,1.1718568278494,1.19814862133829,1.22433281157791,1.25035039417612,1.27615643731478,1.30171732787029,1.32700854656207,1.35201287186034,1.37671893022122,1.40112002554754,1.42521319360339,1.44899843766502,1.47247811027409,1.49565641288732,1.5185389907821,1.54113260503553,1.5634448669594,1.58548402322431,1.60725878218522,1.62877817374522,1.65005143655625,1.67108792752948,1.69189704957112,1.71248819422055,1.73287069648093,1.75305379962949,1.77304662819729,1.79285816763515,1.81249724944941,1.83197254080786,1.85129253779432,1.8704655616358,1.88949975734536,1.90840309432242,1.92718336853266,1.9458482059568,1.96440506705235,1.98286125201824,2.00122390668989,2.01950002892365,2.03769647535588,2.05581996844305,2.07387710370798,2.0918743571318,2.10981809264428,2.12771456967532,2.14556995073952,2.16339030903307,2.18118163602821,2.19894984905634,2.21670079887476,2.23444027721618,2.25217402432342,2.26990773647447,2.28764707350562,2.3053976663427,2.32316512455236,2.34095504392724,2.35877301412062,2.3766246263479,2.39451548117367,2.41245119640516,2.43043741511412,2.44847981381144,2.46658411080016,2.48475607473495,2.50300153341815,2.52132638286475,2.53973659667152,2.55823823572815,2.5768374583118,2.59554053060957,2.61435383771808,2.63328389517331,2.65233736106911,2.67152104882889,2.69084194070088,2.71030720205516,2.72992419656907,2.74970050239672,2.76964392942964,2.78976253776766,2.81006465753373,2.83055891018225
1926-06-01,0.960512522873158,0.935701671520137,0.920131247795943,0.912653923194728,0.912135564073249,0.917492579427911,0.927723731310091,0.941931523983945,0.959332186370745,0.979255930231207,1.00114032348648,1.02451964184314,1.04901250100994,1.07430935439948,1.10016080238702,1.12636718305631,1.15276960066321,1.17924236297786,1.20568670300324,1.23202562142703,1.25819967979755,1.28416358520794,1.30988342567718,1.33533443598114,1.36049919354183,1.3853661618032,1.40992851384948,1.43418318185899,1.45813008855203,1.48177152538839,1.50511164921145,1.52815607461508,1.55091154377843,1.5733856590904,1.5955866667448,1.61752328177474,1.63920454682609,1.66063971843765,1.68183817577419,1.70280934770671,1.72356265489755,1.74410746416551,1.76445305290458,1.78460858173528,1.80458307389587,1.82438540014908,1.84402426819829,1.86350821578581,1.88284560679247,1.90204462977767,1.92111329849803,1.94005945402428,1.95889076814266,1.97761474778341,1.99623874026403,2.01476993917366,2.03321539075625,2.05158200067647,2.06987654107418,2.08810565783162,2.10627587799234,2.12439361728398,2.14246518770746,2.16049680516378,2.17849459709788,2.19646461014426,2.2144128177655,2.2323451278785,2.25026739046755,2.26818540518678,2.286104928957,2.30403168356493,2.32197136327492,2.3399296424652,2.35791218330287,2.3759246434733,2.39397268398163,2.41206197704553,2.43019821410024,2.44838711393847,2.46663443100973,2.48494596390553,2.50332756405875,2.52178514468813,2.54032469002085,2.55895226482902,2.57767402431903,2.59649622441569,2.61542523248713,2.6344675385602,2.65362976708116,2.6729186892813,2.69234123621327,2.71190451253046,2.7316158110893,2.75148262846314,2.77151268146573,2.79171392479387,2.81209456991129,2.8326631053104,2.8534283183054
1926-07-01,0.969341991805256,0.944117728340481,0.928183562507148,0.920389279045952,0.919598401597773,0.924724997933975,0.934765191838688,0.948818479023213,0.966097789040497,0.985929893503051,1.00774893703743,1.03108591866009,1.05555641321038,1.08084811913441,1.10670918647364,1.1329378042222,1.15937321149903,1.18588811002833,1.21238235785927,1.23877778354366,1.26501395245677,1.29104472693468,1.31683547978392,1.34236084096318,1.3676028769106,1.39254961971791,1.41719387864395,1.44153227929286,1.46556448636303,1.48929257449218,1.51272051869304,1.53585378147866,1.55869897827179,1.58126360629063,1.60355582498352,1.62558427838893,1.64735795164384,1.66888605534311,1.69017793264232,1.71124298495246,1.73209061284664,1.75273016942169,1.77317092386184,1.79342203336064,1.81349252188998,1.83339126457562,1.85312697665988,1.87270820621282,1.89214332990169,1.9114405512495,1.93060790091422,1.9496532386022,1.96858425629748,1.9874084825449,2.00613328757162,2.02476588907001,2.04331335849701,2.06178262777191,2.08018049627626,2.09851363807848,2.11678860932101,2.13501185572068,2.15318972014401,2.17132845022784,2.18943420602386,2.20751306765137,2.22557104294871,2.24361407511782,2.26164805036098,2.27967880551146,2.29771213566351,2.31575380180911,2.33380953849169,2.35188506148884,2.36998607553799,2.38811828212113,2.40628738732602,2.4244991098034,2.44275918884125,2.46107339257893,2.47944752638604,2.49788744143262,2.51639904347954,2.53498830192008,2.55366125910637,2.57242403999692,2.59128286216454,2.6102440462074,2.6293140266098,2.64849936310303,2.667806752582,2.68724304163821,2.70681523977579,2.7265305333841,2.74639630054813,2.76642012678645,2.78660982181672,2.80697343745981,2.82751928680653,2.84825596478615,2.86919237029234
1926-08-01,0.982702868721287,0.956903968794572,0.940455757858357,0.932201875020456,0.931001857194235,0.935766864376383,0.945490407470032,0.959269225546141,0.976313198317542,0.995945791093993,1.01759770975149,1.04079652347659,1.06515450679591,1.09035627296333,1.11614715241469,1.14232280170821,1.16872021533884,1.19521012520369,1.22169067341034,1.24808220179406,1.27432299260069,1.30036580372961,1.32617505906681,1.35172457418034,1.37699571700406,1.40197592067007,1.42665748083388,1.45103658261709,1.47511251285476,1.49888702195662,1.52236380667346,1.54554809068406,1.5684462844335,1.59106570927312,1.61341437385094,1.6355007930239,1.65733384142423,1.67892263530666,1.7002764375034,1.72140458128089,1.74231640967166,1.76302122748515,1.78352826371142,1.80384664244593,1.82398536080049,1.84395327253961,1.86375907640617,1.883411308283,1.90291833648796,1.92228835962306,1.94152940650021,1.96064933774947,1.97965584878516,1.99855647386228,2.01735859100286,2.0360694276115,2.05469606663145,2.07324545312037,2.09172440114685,2.11013960092814,2.12849762614499,2.14680494138268,2.16506790965856,2.18329280000543,2.20148579508805,2.21965299883656,2.2378004440863,2.25593410021796,2.27405988079658,2.2921836512107,2.31031123631672,2.32844842809569,2.34660099333242,2.36477468132883,2.38297523166547,2.40120838202714,2.41947987611014,2.43779547163064,2.45616094845535,2.47458211687745,2.4930648260628,2.51161497269327,2.53023850983627,2.54894145607189,2.56772990491156,2.58661003454499,2.60558811795509,2.62467053344428,2.64386377561901,2.66317446688415,2.68260936950307,2.70217539828521,2.72187963396865,2.74172933737235,2.76173196440031,2.78189518198889,2.8022268850987,2.82273521486374,2.84342857802381,2.86431566778119,2.88540548623998
1926-09-01,0.994952449744328,0.968738215579169,0.95192536101082,0.943352183352053,0.941874680818497,0.946401450251579,0.955923779389115,0.96953614206661,0.986445956077879,1.00597402958792,1.02754829806726,1.05069355246879,1.07501937673972,1.100207852421,1.12600198171386,1.15219531805794,1.17862298225485,1.20515405447605,1.23168523244189,1.25813560256314,1.28444236086825,1.31055732863616,1.33644412417409,1.36207587149511,1.38743334572341,1.41250347241372,1.43727811305221,1.46175308173145,1.48592734853052,1.50980239374782,1.5333816841224,1.55667024781484,1.579674329449,1.60240111014983,1.62485848042617,1.64705485608293,1.66899902922046,1.69070004788408,1.71216711913624,1.73340953129893,1.75443659190049,1.77525757849698,1.79588170005395,1.81631806699247,1.83657566834409,1.8566633547368,1.87658982616071,1.89636362364782,1.91599312415258,1.93548653804469,1.95485190872882,1.97409711399061,1.99322986873852,2.0122577288691,2.03118809603115,2.05002822310437,2.06878522024096,2.08746606134639,2.1060775908985,2.12462653102313,2.1431194887607,2.16156296347141,2.17996335433807,2.19832696793489,2.21666002583872,2.23496867226577,2.25325898172248,2.27153696666443,2.28980858516083,2.30807974856599,2.32635632920249,2.34464416806295,2.36294908254032,2.38127687419855,2.39963333659759,2.41802426318854,2.43645545529688,2.45493273021324,2.4734619294131,2.49204892692888,2.51069963789941,2.52942002732428,2.54821611905254,2.56709400503752,2.58605985489241,2.60511992578387,2.6242805727042,2.64354825916618,2.66292956836828,2.68243121488299,2.70206005692504,2.72182310926273,2.74172755684097,2.76178076919254,2.78199031572123,2.80236398195017,2.82290978683882,2.84363600128367,2.86455116793135,2.88566412244815,2.9069840164077
1926-10-01,1.00248750022621,0.976088969485028,0.959137673459095,0.950467785428503,0.94893141726809,0.953433428809694,0.96296148139946,0.976606542478096,0.993572683744254,1.01317757755652,1.0348462770223,1.05810097183103,1.08254893607957,1.10787022818184,1.13380609830546,1.16014859654683,1.18673156335234,1.21342299506753,1.2401186765726,1.26673692877333,1.29321430824807,1.31950210411573,1.34556349350412,1.3713712361993,1.39690580807479,1.42215389024168,1.44710714594655,1.47176122998728,1.4961149859779,1.5201697954349,1.54392904966938,1.56739772112667,1.59058201536491,1.61348908851547,1.63612681799597,1.65850361659513,1.68062828193274,1.70250987481181,1.72415762119717,1.7455808335362,1.76678884792898,1.78779097429563,1.80859645720775,1.82921444547225,1.84965396889881,1.86992392096183,1.89003304629643,1.90998993215472,1.92980300310247,1.94948051836197,1.96903057131095,1.98846109073298,2.00777984348543,2.0269944383096,2.04611233055627,2.06514082763992,2.0840870950686,2.10295816292401,2.12176093268977,2.14050218434507,2.15918858365723,2.17782668962015,2.196422961997,2.21498376893513,2.23351539462925,2.25202404701548,2.27051586548515,2.28899692861161,2.30747326188776,2.32595084547587,2.34443562197391,2.36293350420607,2.38145038304688,2.39999213529147,2.41856463158582,2.43717374443335,2.4558253562959,2.47452536780901,2.49327970613343,2.51209433346654,2.53097525573947,2.54992853152783,2.56896028120625,2.58807669637921,2.60728404962355,2.62658870458096,2.64599712644173,2.66551589286511,2.68515170538521,2.70491140135624,2.72480196649563,2.74483054808962,2.7650044689319,2.7853312420735,2.80581858647014,2.82647444362259,2.84730699531627,2.8683246825782,2.88953622598358,2.91095064745963,2.93257729375293
