"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,2.42782690484423,1.85438371607974,1.30923653168007,1.26424824784688,-0.00912261369822148,0.586524285743749,1.46144743633348,-0.0120958251691325,0.923090705300384,"240 Months"
"Large_Cap: 1%,  Fixed: 99%",1,2.48600244602939,1.85255083908805,1.34193480339421,1.29690200904687,0.0222712996720815,0.618507520321397,1.49945275740453,0.0294229492117729,0.97139247641017,"240 Months"
"Large_Cap: 2%,  Fixed: 98%",2,2.54417798721456,1.85226215640561,1.37355178283815,1.32851196994442,0.0536826041261977,0.650011750645077,1.53583320179774,0.0706217474510971,1.0175025374003,"240 Months"
"Large_Cap: 3%,  Fixed: 97%",3,2.60235352839972,1.85351838955034,1.40400739645806,1.35899810956619,0.0850327669549904,0.68095774783772,1.57046680274132,0.111329613193755,1.06118026216283,"240 Months"
"Large_Cap: 4%,  Fixed: 96%",4,2.66052906958489,1.8563164020319,1.43323038393278,1.38828893921822,0.116243835487523,0.711270582894131,1.60324939745582,0.151386607656285,1.10223448218948,"240 Months"
"Large_Cap: 5%,  Fixed: 95%",5,2.71870461077005,1.86064923835913,1.46115912377318,1.41632233281078,0.147239401165881,0.740880528191341,1.63409616248,0.190646628881888,1.14052674406841,"240 Months"
"Large_Cap: 6%,  Fixed: 94%",6,2.77688015195521,1.86650620991803,1.48774225191416,1.44304615580082,0.177945521453958,0.769723842356026,1.6629425967778,0.228979595958499,1.17597186675252,"240 Months"
"Large_Cap: 7%,  Fixed: 93%",7,2.83505569314038,1.87387302526643,1.51293905985828,1.46841867889875,0.208291574051867,0.797743418421914,1.6897449315509,0.266272948748798,1.20853600481183,"240 Months"
"Large_Cap: 8%,  Fixed: 92%",8,2.89323123432554,1.88273196118888,1.53671966799701,1.49240877155801,0.238211021237477,0.824889281142877,1.71447997633917,0.302432461809905,1.23823262136347,"240 Months"
"Large_Cap: 9%,  Fixed: 91%",9,2.9514067755107,1.89306206983436,1.55906497866124,1.51499587903476,0.267642066496393,0.851118925739167,1.73714443932128,0.337382413364921,1.26511689884535,"240 Months"
"Large_Cap: 10%,  Fixed: 90%",10,3.00958231669587,1.90483941646306,1.57996642167564,1.53616979491876,0.296528190607464,0.87639749681362,1.75775378352563,0.371065183117417,1.28927916221453,"240 Months"
"Large_Cap: 11%,  Fixed: 89%",11,3.06775785788103,1.91803734178445,1.59942551224104,1.5559302480263,0.32481855966741,0.900697812274112,1.77634069837233,0.403440374740572,1.31083786633149,"240 Months"
"Large_Cap: 12%,  Fixed: 88%",12,3.1259333990662,1.93262674258383,1.61745324650065,1.57428632806968,0.35246830281422,0.924000242490183,1.79295327680367,0.434483569969389,1.3299326251293,"240 Months"
"Large_Cap: 13%,  Fixed: 87%",13,3.18410894025136,1.94857636430375,1.6340693639631,1.59125577837163,0.379438662328866,0.946292459333248,1.80765299220541,0.464184822564789,1.34671765602672,"240 Months"
"Large_Cap: 14%,  Fixed: 86%",14,3.24228448143652,1.9658530994453,1.64930150800759,1.60686418602347,0.405697023102727,0.967569073038833,1.82051256701373,0.492546993983798,1.36135589900859,"240 Months"
"Large_Cap: 15%,  Fixed: 85%",15,3.30046002262169,1.98442228605116,1.66318431607081,1.6211441003662,0.431216831972893,0.987831176924921,1.83161381746367,0.519584020702828,1.37401396160093,"240 Months"
"Large_Cap: 16%,  Fixed: 84%",16,3.35863556380685,2.00424800108589,1.67575847000329,1.63413410968988,0.455977420048522,1.0070858209351,1.84104554775797,0.545319188087273,1.38485794879782,"240 Months"
"Large_Cap: 17%,  Fixed: 83%",17,3.41681110499201,2.02529334419473,1.68706973475517,1.64587790385632,0.479963742854355,1.02534543485698,1.84890155348346,0.569783469467946,1.39405016572751,"240 Months"
"Large_Cap: 18%,  Fixed: 82%",18,3.47498664617718,2.04752070805757,1.69716801031713,1.65642334745422,0.503166053944454,1.04262722105834,1.85527877974197,0.593013973221855,1.40174663114717,"240 Months"
"Large_Cap: 19%,  Fixed: 81%",19,3.53316218736234,2.07089203231652,1.70610641802031,1.66582158440621,0.525579527683308,1.05895253488108,1.86027566534876,0.615052526232611,1.40809530961092,"240 Months"
"Large_Cap: 20%,  Fixed: 80%",20,3.59133772854751,2.09536903880962,1.71394043819018,1.67412619095761,0.547203846280265,1.07434626864138,1.86399069145899,0.635944409753168,1.41323495577356,"240 Months"
"Large_Cap: 21%,  Fixed: 79%",21,3.64951326973267,2.12091344655888,1.72072711201577,1.6813923899459,0.568042765042144,1.08883625270223,1.8665211416964,0.655737253674227,1.41729446174367,"240 Months"
"Large_Cap: 22%,  Fixed: 78%",22,3.70768881091783,2.14748716561683,1.72652431655062,1.68767633538903,0.588103668326593,1.10245268449001,1.86796207159131,0.674480087507811,1.4203926038875,"240 Months"
