"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","type"
"Large_Cap: 43%,  Fixed: 57%",43,0.00657386457583839,0.0257292493024682,0.255501608249711,0.245453214973303,0.246381170077079,"Monthly"
"Large_Cap: 44%,  Fixed: 56%",44,0.00662540726188355,0.0261743296515003,0.253126148791504,0.243248623019488,0.244160798747555,"Monthly"
"Large_Cap: 45%,  Fixed: 55%",45,0.00667694994792871,0.0266228685640758,0.250797540162085,0.241086429765559,0.241983237265813,"Monthly"
"Large_Cap: 46%,  Fixed: 54%",46,0.00672849263397386,0.027074694149565,0.248515924013936,0.238966873735852,0.239848715210206,"Monthly"
"Large_Cap: 47%,  Fixed: 53%",47,0.00678003532001902,0.0275296445825718,0.246281251459064,0.236890007234225,0.237757275539667,"Monthly"
"Large_Cap: 48%,  Fixed: 52%",48,0.00683157800606418,0.0279875674761268,0.244093310784922,0.234855722848118,0.235708801209676,"Monthly"
"Large_Cap: 49%,  Fixed: 51%",49,0.00688312069210934,0.0284483192905411,0.241951751940507,0.232863776898554,0.23370303871795,"Monthly"
"Large_Cap: 50%,  Fixed: 50%",50,0.00693466337815449,0.0289117647769933,0.239856108115296,0.230913810137564,0.231739618883267,"Monthly"
"Large_Cap: 51%,  Fixed: 49%",51,0.00698620606419965,0.0293777764546877,0.23780581471083,0.229005365973782,0.229818075139956,"Monthly"
"Large_Cap: 52%,  Fixed: 48%",52,0.00703774875024481,0.0298462341202506,0.235800225981265,0.227137906485401,0.227937859608812,"Monthly"
"Large_Cap: 53%,  Fixed: 47%",53,0.00708929143628997,0.0303170243879212,0.233838629595669,0.225310826458071,0.226098357183416,"Monthly"
"Large_Cap: 54%,  Fixed: 46%",54,0.00714083412233512,0.0307900402590287,0.231920259352087,0.223523465664163,0.22429889784956,"Monthly"
"Large_Cap: 55%,  Fixed: 45%",55,0.00719237680838028,0.0312651807192154,0.230044306251519,0.221775119579617,0.222538767435069,"Monthly"
"Large_Cap: 56%,  Fixed: 44%",56,0.00724391949442544,0.031742350361868,0.228209928119486,0.220065048715454,0.220817216968099,"Monthly"
"Large_Cap: 57%,  Fixed: 43%",57,0.0072954621804706,0.0322214590362349,0.226416257943702,0.218392486723187,0.219133470804004,"Monthly"
"Large_Cap: 58%,  Fixed: 42%",58,0.00734700486651575,0.032702421518746,0.224662411078771,0.216756647416904,0.217486733664274,"Monthly"
"Large_Cap: 59%,  Fixed: 41%",59,0.00739854755256091,0.0331851572060991,0.222947491452628,0.215156730839615,0.215876196715827,"Monthly"
"Large_Cap: 60%,  Fixed: 40%",60,0.00745009023860607,0.0336695898287324,0.221270596894781,0.21359192848768,0.214301042805021,"Monthly"
"Large_Cap: 61%,  Fixed: 39%",61,0.00750163292465123,0.034155647183364,0.219630823693044,0.212061427794615,0.212760450948191,"Monthly"
"Large_Cap: 62%,  Fixed: 38%",62,0.00755317561069638,0.0346432608833463,0.218027270473471,0.210564415964235,0.21125360016912,"Monthly"
"Large_Cap: 63%,  Fixed: 37%",63,0.00760471829674154,0.0351323661256475,0.216459041487385,0.209100083232957,0.209779672763623,"Monthly"
"Large_Cap: 64%,  Fixed: 36%",64,0.0076562609827867,0.03562290147334,0.214925249379717,0.207667625631932,0.208337857062249,"Monthly"
"Large_Cap: 65%,  Fixed: 35%",65,0.00770780366883186,0.0361148086525435,0.213425017504253,0.206266247311524,0.206927349753911,"Monthly"
"Large_Cap: 66%,  Fixed: 34%",66,0.00775934635487702,0.0366080323628322,0.211957481843657,0.204895162483373,0.205547357825911,"Monthly"
"Large_Cap: 67%,  Fixed: 33%",67,0.00781088904092217,0.0371025201001805,0.210521792585301,0.203553597028777,0.20419710016932,"Monthly"
"Large_Cap: 68%,  Fixed: 32%",68,0.00786243172696733,0.0375982219915812,0.209117115397846,0.202240789816391,0.202875808892875,"Monthly"
"Large_Cap: 69%,  Fixed: 31%",69,0.00791397441301249,0.0380950906405266,0.207742632448113,0.200955993767094,0.201582730383416,"Monthly"
"Large_Cap: 70%,  Fixed: 30%",70,0.00796551709905764,0.0385930809825991,0.206397543193018,0.19969847669935,0.200317126146314,"Monthly"
"Large_Cap: 71%,  Fixed: 29%",71,0.0080170597851028,0.0390921501504684,0.205081064977101,0.198467521984382,0.199078273455321,"Monthly"
