"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,0.71131577576433,0.569923949505263,1.24808893604455,1.22180653036172,-1.75462006969189,0.497907196887013,1.52095702884206,-1.71570434983436,0.740725696146103,"120 Months"
"Large_Cap: 1%,  Fixed: 99%",1,0.725396221945199,0.567244006079791,1.27880808641486,1.25117288079108,-1.76290976948522,0.523418630508177,1.55771389459414,-1.71905653537915,0.779381117425092,"120 Months"
"Large_Cap: 2%,  Fixed: 98%",2,0.739289049146306,0.564881091472227,1.30875162986873,1.27980773397102,-1.77028407411149,0.548531297617453,1.59306168350021,-1.72147766790791,0.816944821169015,"120 Months"
"Large_Cap: 3%,  Fixed: 97%",3,0.753003580415219,0.562839198553095,1.33786627219814,1.30765757300467,-1.77670638891308,0.573212241680032,1.62688911625635,-1.72295582766239,0.853272918081396,"120 Months"
"Large_Cap: 4%,  Fixed: 96%",4,0.766548294954463,0.561121831876605,1.36609957304786,1.33466991559377,-1.7821441676144,0.597427332443932,1.65909231363454,-1.72348369328217,0.88822769439748,"120 Months"
"Large_Cap: 5%,  Fixed: 95%",5,0.779930933406167,0.559731978579799,1.39340070471778,1.36079402272397,-1.78656935509972,0.621141892555412,1.68957672796764,-1.72305864211732,0.921681131204618,"120 Months"
"Large_Cap: 6%,  Fixed: 94%",6,0.793158586399677,0.558672083011839,1.41972117547686,1.38598157731264,NA,0.644321290008239,1.71825887766341,NA,0.953518095416445,"120 Months"
"Large_Cap: 7%,  Fixed: 93%",7,0.806237769565329,0.557944025583526,1.44501550800212,1.4101873228224,-1.79229448501424,0.666931496781251,1.74506783009236,-1.71936294381045,0.983639071225768,"120 Months"
"Large_Cap: 8%,  Fixed: 92%",8,0.819174487506098,0.55754910625661,1.46924186284872,1.43336965136516,-1.7935639906483,0.688939611393915,1.76994638641118,-1.71611054470196,1.01196232178712,"120 Months"
"Large_Cap: 9%,  Fixed: 91%",9,0.831974288685922,0.55748803300732,1.49236259691156,1.45549113102936,-1.79376047698385,0.710314341498023,1.79285193335802,-1.71194147601332,1.03842540257063,"120 Months"
"Large_Cap: 10%,  Fixed: 90%",10,0.844642312789568,0.557760915501282,1.51434474757066,1.47651896299126,-1.79288288621166,0.731026441817372,1.81375694089043,-1.70687586844754,1.06298598649811,"120 Months"
"Large_Cap: 11%,  Fixed: 89%",11,0.857183331799292,0.558367264111103,1.5351604345285,1.49642536033848,-1.79093593818032,0.751049102594147,1.83264909964875,-1.70093783097173,1.08562200220312,"120 Months"
"Large_Cap: 12%,  Fixed: 88%",12,0.869601785793773,0.559305994297075,1.55478717314066,1.51518784234267,-1.78793006010383,0.770358284076807,1.84953110745609,-1.69415513986533,1.10633112611385,"120 Months"
"Large_Cap: 13%,  Fixed: 87%",13,0.881901814287402,0.560575436259913,1.57320809518758,1.53278944005512,-1.78388123224212,0.788932993377804,1.86442012828914,-1.68655888989798,1.12512970269854,"120 Months"
"Large_Cap: 14%,  Fixed: 86%",14,0.894087283780262,0.562173349666254,1.59041207540531,1.5492188114394,NA,0.806755501133955,1.87734695940102,NA,1.14205119235997,"120 Months"
"Large_Cap: 15%,  Fixed: 85%",15,0.906161812071634,0.564096943146825,1.60639376454798,1.56447026666912,NA,0.823811496713854,1.88835495181584,NA,1.15714426166733,"120 Months"
"Large_Cap: 16%,  Fixed: 84%",16,0.918128789795827,0.56634289817728,1.62115353216353,1.57854370658008,NA,0.84009018213523,1.89749873580452,NA,1.17047063575145,"120 Months"
"Large_Cap: 17%,  Fixed: 83%",17,0.929991399563216,0.568907396875555,1.63469732450437,1.59144447945746,NA,0.85558430628717,1.90484280605938,NA,1.18210282878328,"120 Months"
"Large_Cap: 18%,  Fixed: 82%",18,0.94175263302778,0.571786153189487,1.64703644496212,1.60318316326173,-1.7489055907036,0.870290142413832,1.91046002126037,-1.63764572684835,1.1921218573264,"120 Months"
"Large_Cap: 19%,  Fixed: 81%",19,0.953415306152091,0.574974446905578,1.65818726603108,1.61377528197357,NA,0.884207413037302,1.91443006994948,NA,1.20061502523437,"120 Months"
"Large_Cap: 20%,  Fixed: 80%",20,0.964982072899336,0.578467159884768,1.66817088301359,1.62324096591817,NA,0.897339167522973,1.91683794964607,NA,1.20767384993596,"120 Months"
"Large_Cap: 21%,  Fixed: 79%",21,Inf,0.582258813923462,Inf,1.63160456668732,NA,0.909691618283936,1.91777249957055,NA,1.21339218046413,"120 Months"
"Large_Cap: 22%,  Fixed: 78%",22,Inf,0.586343609646762,Inf,1.63889423761525,-1.70548460586522,0.921273942161545,1.91732501984078,-1.58784687385043,1.21786453907368,"120 Months"
"Large_Cap: 23%,  Fixed: 77%",23,Inf,0.59071546586429,Inf,1.64514149070496,NA,0.932098053804492,1.91558800216017,NA,1.2211847019052,"120 Months"
"Large_Cap: 24%,  Fixed: 76%",24,Inf,0.595368058854828,Inf,Inf,NA,0.94217835790986,Inf,NA,1.22344452055383,"120 Months"
"Large_Cap: 25%,  Fixed: 75%",25,Inf,0.60029486109203,Inf,Inf,-1.66584801039417,0.951531487009967,Inf,-1.54606537753285,1.22473297584138,"120 Months"
"Large_Cap: 26%,  Fixed: 74%",26,Inf,0.605489178976854,Inf,Inf,NA,0.960176031120649,Inf,NA,1.22513544749857,"120 Months"
"Large_Cap: 27%,  Fixed: 73%",27,Inf,0.610944189200832,Inf,Inf,NA,0.968132265047239,Inf,NA,1.22473317855277,"120 Months"
"Large_Cap: 28%,  Fixed: 72%",28,Inf,0.616652973425159,Inf,Inf,-1.62165763094527,0.975421878513836,Inf,-1.50170950330269,1.22360291057272,"120 Months"
"Large_Cap: 29%,  Fixed: 71%",29,Inf,0.622608551021868,Inf,Inf,-1.60614562449991,0.982067713578788,Inf,-1.48652654834847,1.22181666508555,"120 Months"
"Large_Cap: 30%,  Fixed: 70%",30,Inf,0.628803909683012,Inf,Inf,-1.59032090068287,0.988093513061397,Inf,-1.47120166450158,1.21944164699885,"120 Months"
"Large_Cap: 31%,  Fixed: 69%",31,Inf,0.635232033760393,Inf,Inf,-1.5742279149247,0.993523682964037,Inf,-1.45576633389593,1.2165402473227,"120 Months"
"Large_Cap: 32%,  Fixed: 68%",32,Inf,0.641885930250633,Inf,Inf,NA,0.998383071157372,Inf,NA,1.21317012454428,"120 Months"
"Large_Cap: 33%,  Fixed: 67%",33,Inf,0.648758652387548,Inf,Inf,NA,1.00269676392541,Inf,NA,1.20938434638412,"120 Months"
"Large_Cap: 34%,  Fixed: 66%",34,Inf,0.655843320845251,Inf,Inf,NA,1.00648990135734,Inf,NA,1.2052315761439,"120 Months"
"Large_Cap: 35%,  Fixed: 65%",35,Inf,0.663133142590971,Inf,Inf,NA,1.00978751203463,Inf,NA,1.2007562902919,"120 Months"
"Large_Cap: 36%,  Fixed: 64%",36,Inf,0.670621427456251,Inf,Inf,NA,1.01261436699969,Inf,NA,1.19599901621965,"120 Months"
"Large_Cap: 37%,  Fixed: 63%",37,Inf,0.678301602519096,Inf,Inf,-1.47427043705362,1.01499485260818,Inf,-1.36236652701383,1.19099658118302,"120 Months"
"Large_Cap: 38%,  Fixed: 62%",38,Inf,0.686167224408248,Inf,Inf,-1.4573706881182,1.01695286155815,Inf,-1.34688583825138,1.18578236528065,"120 Months"
"Large_Cap: 39%,  Fixed: 61%",39,Inf,0.694211989654382,Inf,Inf,-1.44048217965503,1.01851170115116,Inf,-1.33148137804219,1.18038655291539,"120 Months"
"Large_Cap: 40%,  Fixed: 60%",40,Inf,0.70242974322227,Inf,Inf,NA,1.0196940176675,Inf,NA,1.17483637853539,"120 Months"
"Large_Cap: 41%,  Fixed: 59%",41,Inf,0.710814485363337,Inf,Inf,-1.40683683378912,1.02052173562129,Inf,-1.30096259121706,1.16915636357854,"120 Months"
"Large_Cap: 42%,  Fixed: 58%",42,Inf,0.719360376930102,Inf,Inf,NA,1.02101601059493,Inf,NA,1.16336854246785,"120 Months"
"Large_Cap: 43%,  Fixed: 57%",43,Inf,0.72806174329333,Inf,Inf,-1.37350988320933,1.02119719432685,Inf,-1.27091869594569,1.15749267625094,"120 Months"
"Large_Cap: 44%,  Fixed: 56%",44,Inf,0.736913076999762,Inf,Inf,NA,1.02108481073566,Inf,NA,1.15154645306805,"120 Months"
"Large_Cap: 45%,  Fixed: 55%",45,Inf,0.745909039303604,Inf,Inf,NA,1.02069754159898,Inf,NA,1.14554567509409,"120 Months"
"Large_Cap: 46%,  Fixed: 54%",46,Inf,0.755044460698855,Inf,Inf,NA,1.02005322066147,Inf,NA,1.13950443195189,"120 Months"
"Large_Cap: 47%,  Fixed: 53%",47,Inf,0.764314340572552,Inf,Inf,-1.3083622103059,1.01916883501707,Inf,-1.21258586782594,1.13343526085626,"120 Months"
"Large_Cap: 48%,  Fixed: 52%",48,Inf,0.773713846091252,Inf,Inf,-1.29246749951798,1.0180605326915,Inf,-1.19841367194536,1.12734929393792,"120 Months"
"Large_Cap: 49%,  Fixed: 51%",49,Inf,0.783238310425002,Inf,Inf,NA,1.01674363543726,Inf,NA,1.12125639332737,"120 Months"
"Large_Cap: 50%,  Fixed: 50%",50,Inf,0.792883230404792,Inf,Inf,NA,1.01523265584289,Inf,NA,1.11516527466422,"120 Months"
"Large_Cap: 51%,  Fixed: 49%",51,Inf,0.802644263701234,Inf,Inf,NA,1.01354131794726,Inf,NA,1.1090836197464,"120 Months"
"Large_Cap: 52%,  Fixed: 48%",52,Inf,0.812517225604162,Inf,Inf,-1.23074313809954,1.0116825806369,Inf,-1.14352497168095,1.10301817905562,"120 Months"
"Large_Cap: 53%,  Fixed: 47%",53,Inf,0.82249808547504,Inf,Inf,-1.21580830114935,1.00966866318739,Inf,-1.13026911654183,1.09697486489649,"120 Months"
"Large_Cap: 54%,  Fixed: 46%",54,Inf,0.832582962936643,Inf,Inf,NA,1.00751107238934,Inf,NA,1.09095883587248,"120 Months"
"Large_Cap: 55%,  Fixed: 45%",55,Inf,0.842768123857472,Inf,Inf,-1.18656599803853,1.0052206307721,Inf,-1.10433096396178,1.08497457339702,"120 Months"
"Large_Cap: 56%,  Fixed: 44%",56,Inf,0.853049976181795,Inf,Inf,-1.17226426108813,1.00280750550649,Inf,-1.09165051585183,1.07902595090578,"120 Months"
"Large_Cap: 57%,  Fixed: 43%",57,Inf,0.863425065650117,Inf,Inf,-1.15817809765234,1.00028123762917,Inf,-1.07916297026981,1.07311629639897,"120 Months"
"Large_Cap: 58%,  Fixed: 42%",58,Inf,0.873890071449314,Inf,Inf,-1.1443086867225,0.997650771286988,Inf,-1.0668681922754,1.06724844890293,"120 Months"
"Large_Cap: 59%,  Fixed: 41%",59,Inf,0.884441801826496,Inf,Inf,NA,0.994924482749488,Inf,NA,1.06142480939941,"120 Months"
"Large_Cap: 60%,  Fixed: 40%",60,Inf,0.89507718969603,Inf,Inf,NA,0.992110208981994,Inf,NA,1.05564738673034,"120 Months"
"Large_Cap: 61%,  Fixed: 39%",61,Inf,0.905793288264942,Inf,Inf,NA,0.989215275610873,Inf,NA,1.04991783894584,"120 Months"
"Large_Cap: 62%,  Fixed: 38%",62,Inf,0.916587266698116,Inf,Inf,NA,0.986246524146618,Inf,NA,1.04423751052494,"120 Months"
"Large_Cap: 63%,  Fixed: 37%",63,Inf,0.9274564058413,Inf,Inf,-1.07821779406752,0.983210338360239,Inf,-1.00825845946643,1.03860746586197,"120 Months"
"Large_Cap: 64%,  Fixed: 36%",64,Inf,0.938398094016943,Inf,Inf,NA,0.980112669734034,Inf,NA,1.03302851937721,"120 Months"
"Large_Cap: 65%,  Fixed: 35%",65,Inf,0.949409822905174,Inf,Inf,NA,0.976959061929853,Inf,NA,1.02750126257792,"120 Months"
"Large_Cap: 66%,  Fixed: 34%",66,Inf,0.96048918351987,Inf,Inf,NA,0.97375467423658,Inf,NA,1.02202608836644,"120 Months"
"Large_Cap: 67%,  Fixed: 33%",67,Inf,0.97163386228771,Inf,Inf,-1.02919426629029,0.970504303974376,Inf,-0.964719813876943,1.01660321286393,"120 Months"
"Large_Cap: 68%,  Fixed: 32%",68,Inf,0.982841637236248,Inf,Inf,-1.01745791195009,0.967212407846322,Inf,-0.954283866900152,1.01123269499318,"120 Months"
"Large_Cap: 69%,  Fixed: 31%",69,Inf,0.994110374295509,Inf,Inf,-1.00592451890331,0.963883122239009,Inf,-0.944022728710689,1.00591445404057,"120 Months"
"Large_Cap: 70%,  Fixed: 30%",70,Inf,1.00543802371619,Inf,Inf,-0.994591388441736,0.96052028248249,Inf,-0.933933903648499,1.00064828539571,"120 Months"
"Large_Cap: 71%,  Fixed: 29%",71,Inf,1.01682261660641,Inf,Inf,NA,Inf,Inf,NA,Inf,"120 Months"
"Large_Cap: 72%,  Fixed: 28%",72,Inf,1.02826226158793,Inf,Inf,-0.972514539681454,Inf,Inf,-0.914262890119027,Inf,"120 Months"
"Large_Cap: 73%,  Fixed: 27%",73,Inf,1.03975514157189,Inf,Inf,NA,Inf,Inf,NA,Inf,"120 Months"
"Large_Cap: 74%,  Fixed: 26%",74,Inf,1.0512995106534,Inf,Inf,NA,Inf,Inf,NA,Inf,"120 Months"
"Large_Cap: 75%,  Fixed: 25%",75,Inf,1.06289369112371,Inf,Inf,NA,Inf,Inf,NA,Inf,"120 Months"
"Large_Cap: 76%,  Fixed: 24%",76,Inf,1.07453607059826,Inf,Inf,NA,Inf,Inf,NA,Inf,"120 Months"
"Large_Cap: 77%,  Fixed: 23%",77,Inf,1.08622509925822,Inf,Inf,-0.920619492849962,Inf,Inf,-0.867916210646924,Inf,"120 Months"
"Large_Cap: 78%,  Fixed: 22%",78,Inf,1.09795928720328,Inf,Inf,-0.910780583264791,Inf,Inf,-0.859110416665588,Inf,"120 Months"
"Large_Cap: 79%,  Fixed: 21%",79,Inf,1.10973720191268,Inf,Inf,-0.901114244234091,Inf,Inf,-0.85045275907202,Inf,"120 Months"
