Date,Folio0,Folio1,Folio2,Folio3,Folio4,Folio5,Folio6,Folio7,Folio8,Folio9,Folio10,Folio11,Folio12,Folio13,Folio14,Folio15,Folio16,Folio17,Folio18,Folio19,Folio20,Folio21,Folio22,Folio23,Folio24,Folio25,Folio26,Folio27,Folio28,Folio29,Folio30,Folio31,Folio32,Folio33,Folio34,Folio35,Folio36,Folio37,Folio38,Folio39,Folio40,Folio41,Folio42,Folio43,Folio44,Folio45,Folio46,Folio47,Folio48,Folio49,Folio50,Folio51,Folio52,Folio53,Folio54,Folio55,Folio56,Folio57,Folio58,Folio59,Folio60,Folio61,Folio62,Folio63,Folio64,Folio65,Folio66,Folio67,Folio68,Folio69,Folio70,Folio71,Folio72,Folio73,Folio74,Folio75,Folio76,Folio77,Folio78,Folio79,Folio80,Folio81,Folio82,Folio83,Folio84,Folio85,Folio86,Folio87,Folio88,Folio89,Folio90,Folio91,Folio92,Folio93,Folio94,Folio95,Folio96,Folio97,Folio98,Folio99,Folio100
1926-01-01,0.917239633264788,0.971915667102654,1.00918928620626,1.02474584261276,1.01822505120208,0.993151416718781,0.955188931810129,0.910089608592639,0.862433411885564,0.815299194229143,0.770477841148818,0.728846748904858,0.690708418031248,0.656035892709673,0.624631284807739,0.596220862864235,0.570508827290007,0.547205877381983,0.526043061600431,0.506777350022926,0.489192738795688,0.473099082094412,0.458329886871446,0.444739746100495,0.432201765277963,0.420605155716519,0.409853067843257,0.399860683790815,0.390553560982361,0.381866205562566,0.373740849748348,0.366126406657744,0.358977577770729,0.352254090685711,0.34592004761228,0.339943367750291,0.334295309189254,0.328950058159714,0.323884375370588,0.319077290790375,0.314509839604041,0.310164833233008,0.306026660274366,0.302081113025781,0.298315235939882,0.294717192918068,0.291276150827114,0.287982177018324,0.284826148961301,0.281799674383341,0.278895020540228,0.276105051441973,0.273423172024097,0.270843278396448,0.268359713421443,0.265967226975537,0.263660940334522,0.261436314197399,0.259289119926923,0.257215413639313,0.255211512822301,0.253273975200902,0.251399579604995,0.249585308622774,0.247828332850122,0.246125996568503,0.244475804703587,0.242875410933879,0.241322606833585,0.239815311946929,0.238351564702623,0.236929514087152,0.235547412004412,0.23420360625694,0.232896534090876,0.231624716252782,0.230386751511853,0.229181311605739,0.228007136572443,0.226863030434477,0.225747857204785,0.224660537186919,0.223600043544592,0.222565399118078,0.221555673467097,0.220569980121643,0.219607474023991,0.218667349146585,0.217748836271924,0.216851200921768,0.215973741424132,0.215115787107512,0.214276696612721,0.21345585631351,0.212652678837924,0.211866601682982,0.211097085915914,0.210343614955721,0.209605693429337,0.208882846097147,0.208174616842986
1926-02-01,0.930823629499433,0.981611816224474,1.01209215831246,1.01801328455157,1.00015237159813,0.963700341181579,0.915699223758296,0.862575913560566,0.808965890383263,0.757664288902606,0.710073903535362,0.666706512554556,0.627567552219355,0.592406093609773,0.56086213518908,0.532547247963805,0.507085509489138,0.484132054064629,0.463379574703334,0.444558671082442,0.427435297839153,0.411807056191151,0.397499227355387,0.384360983564332,0.372261964313416,0.361089276203486,0.3507449105505,0.341143543814834,0.33221067524925,0.323881054864718,0.316097357924929,0.308809067073818,0.30197152852075,0.295545153796331,0.289494743163378,0.283788910733095,0.278399594704637,0.273301638969521,0.268472434669773,0.263891612240815,0.259540776072476,0.255403275241987,0.251464004860784,0.247709233473977,0.244126452691799,0.240704245844545,0.2374321729597,0.234300669780965,0.231300958899235,0.228424971357761,0.225665277338107,0.223015024738244,0.220467884626313,0.218018002698516,0.215659955992135,0.213388714208347,0.211199605087527,0.209088283354673,0.207050702816443,0.205083091245933,0.203181927738154,0.201343922259346,0.199565997147902,0.197845270354523,0.196179040235056,0.194564771731809,0.193000083798576,0.191482737941477,0.190010627762451,0.188581769405077,0.187194292813661,0.185846433726352,0.184536526331747,0.18326299652599,0.182024355714152,0.180819195105502,0.179646180457602,0.178504047228703,0.177391596102082,0.176307688849567,0.175251244504759,0.174221235819322,0.17321668597831,0.172236665552782,0.171280289670005,0.170346715383404,0.169435139226048,0.168544794932948,0.167674951318775,0.166824910298811,0.16599400504199,0.165181598245917,0.164387080524565,0.163609868900204,0.162849405391786,0.162105155692698,0.161376607931356,0.160663271508669,0.15996467600688,0.159280370164739,0.158609920914348
1926-03-01,0.990709088756631,1.09072721601603,1.17408279061715,1.23085395073253,1.25592833190347,1.2510173802624,1.22302021198954,1.18048781151552,1.13084538259655,1.07932956112766,1.02911576496224,0.981873581448722,0.938315669337181,0.898601991963839,0.862599766627217,0.830037952653368,0.800594020569939,0.773940128772091,0.74976599332532,0.727788816066636,0.707756272592555,0.689445954269174,0.672663145294562,0.657237953179351,0.643022325457264,0.629887215538732,0.617720013008269,0.606422274927801,0.595907754459904,0.586100704140829,0.576934423678154,0.568350020746305,0.560295354850957,0.55272413725103,0.545595163264001,0.538871656573774,0.532520708191928,0.526512795406956,0.520821368377125,0.515422494000132,0.510294548362065,0.505417950468704,0.500774931133143,0.496349331870607,0.492126429465827,0.488092782557298,0.484236097149235,0.480545108435099,0.477009476712301,0.473619695499166,0.470367010243566,0.467243346246696,0.464241244622736,0.461353805281866,0.458574636065166,0.455897807279689,0.45331781098381,0.450829524459766,0.448428177384425,0.446109322272817,0.443868807823418,0.441702754841018,0.439607534453352,0.437579748372538,0.435616210982502,0.433713933059725,0.431870106957351,0.430082093102473,0.428347407673639,0.426663711340697,0.425028798962265,0.423440590147675,0.421897120600405,0.420396534168914,0.418937075538705,0.417517083506356,0.416134984782412,0.414789288275493,0.413478579814748,0.412201517272122,0.410956826049674,0.409743294900606,0.408559772055664,0.407405161629294,0.40627842028236,0.405178554120365,0.404104615808098,0.403055701883334,0.402030950253826,0.401029537863175,0.400050678512515,0.399093620826007,0.398157646349257,0.397242067770639,0.396346227256387,0.395469494891089,0.394611267215887,0.393770965857339,0.392948036240471,0.392141946380062,0.391352185744674
1926-04-01,0.986547842552595,1.1078081937909,1.22643031617949,1.33573458636626,1.42886572840235,1.5004070338238,1.5477576500655,1.57155620822018,1.57501373827048,1.56266073486974,1.5391660656282,1.50859247147648,1.47410541116378,1.43798207095758,1.40175908470914,1.36641307116243,1.33252294711103,1.30039755393513,1.27016883610585,1.24185681667815,1.21541352403784,1.19075200794963,1.1677651255599,1.14633745421135,1.12635265472039,1.10769785915721,1.09026613478711,1.07395772029902,1.05868049189337,1.04434995812567,1.03088897743234,1.01822732308066,1.00630117482134,0.995052586741445,0.98442896138573,0.974382547613857,0.964869971558669,0.955851804910142,0.947292171552437,0.939158391655197,0.931420661219318,0.924051764507456,0.917026816555648,0.910323032936702,0.903919524044217,0.897797111333689,0.891938163158953,0.88632644805607,0.880947003539001,0.875786018674076,0.870830728888947,0.866069321644462,0.861490851754138,0.857085165276049,0.852842831026819,0.848755078878219,0.844813744094875,0.841011217058032,0.837340397796481,0.833794654812801,0.830367787751983,0.827053993511354,0.823847835436289,0.820744215286291,0.817738347691292,0.814825736849101,0.812002155242274,0.809263624176872,0.806606395966806,0.804026937606367,0.801521915790141,0.79908818315428,0.796722765626135,0.794422850780887,0.792185777114079,0.790009024148119,0.787890203298987,0.785827049436622,0.783817413078974,0.781859253165472,0.779950630360867,0.778089700845003,0.776274710548281,0.774503989796259,0.772775948330207,0.771089070673444,0.769441911815987,0.767833093192496,0.766261298930694,0.764725272349439,0.763223812687401,0.761755772044965,0.760320052523416,0.758915603546812,0.75754141935317,0.756196536642681,0.754880032371677,0.753591021681971,0.752328655956052,0.751092120989324,0.749880635271315
1926-05-01,0.948662490115462,1.10628857077607,1.26625379731869,1.41592233876947,1.54049814186427,1.62797127803677,1.67386622597234,1.68215402423378,1.66205527815347,1.62378575139652,1.57583791024415,1.52416825818362,1.47248458480966,1.42286724126109,1.37634383468493,1.3333095428691,1.29380207740721,1.25767047713887,1.22467441311015,1.19454056199978,1.16699334687414,1.14177073171844,1.11863148129045,1.09735766564939,1.07775460905286,1.0596495481697,1.04288971604203,1.02734024834562,1.0128821231718,0.999410239184262,0.986831676858681,0.975064154347107,0.964034672001336,0.953678331082877,0.943937308767035,0.934759970922028,0.926100104975072,0.917916256697002,0.910171156511229,0.902831222724647,0.895866130765694,0.889248439042849,0.882953263387144,0.87695799321713,0.871242043576358,0.865786638058646,0.860574618373069,0.855590276926138,0.850819209328919,0.846248184186098,0.84186502790464,0.837658522582265,0.833618315309649,0.829734837452698,0.825999232678866,0.822403292659892,0.818939399526912,0.815600474276675,0.812379930432663,0.809271632355025,0.806269857670715,0.803369263361871,0.800564855107984,0.797851959527101,0.79522619900434,0.792683468833285,0.790219916428278,0.787831922393855,0.785516083262151,0.783269195730668,0.781088242251557,0.77897037784011,0.776912917984609,0.774913327552462,0.77296921059873,0.771078300993103,0.769238453790102,0.767447637275043,0.76570392562517,0.764005492131445,0.762350602931924,0.760737611212441,0.759164951834655,0.757631136355328,0.756134748404144,0.754674439390451,0.753248924512046,0.751856979041614,0.750497434868628,0.749169177276516,0.747871141936722,0.746602312102849,0.745361715989614,0.744148424322581,0.742961548045894,0.741800236176291,0.74066367379264,0.739551080151171,0.738461706917343,0.737394836506036,0.736349780522442
1926-06-01,0.724215919922261,0.898743675923268,1.09294593251958,1.2962565050132,1.4888199509506,1.64524244951453,1.74558306521436,1.78567847472835,1.77669931728441,1.73603606557613,1.67915037563,1.6165888629236,1.55443041979512,1.49571567960818,1.44169831740708,1.39267442974576,1.34846832954223,1.30869814253258,1.27291395302116,1.24066595459682,1.21153540235906,1.18514635116006,1.16116782351029,1.13931149486255,1.11932753310687,1.1009999225408,1.08414191184453,1.06859186482413,1.05420960821331,1.04087328012334,1.02847664146406,1.01692679700516,1.00614226993373,0.996051376996014,0.986590857021098,0.977704711994569,0.969343226000057,0.961462132893981,0.95402190839973,0.946987166405362,0.940326142685046,0.934010252122011,0.928013707875092,0.922313192881954,0.916887575700138,0.911717664012246,0.906785990214597,0.902076624411184,0.897575010881368,0.89326782470849,0.889142845770582,0.885188847722293,0.881395499954321,0.877753280815492,0.874253400633352,0.870887733279947,0.867648755207289,0.864529491027218,0.861523464837801,0.85862465660653,0.855827463012762,0.853126662230501,0.850517382199923,0.847995071993786,0.845555475934497,0.843194610160375,0.84090874137656,0.838694367557978,0.836548200399478,0.834467149332296,0.832448306947013,0.830488935681395,0.828586455647502,0.82673843348645,0.824942572151455,0.823196701530584,0.821498769830107,0.819846835647735,0.818239060672387,0.816673702953694,0.815149110690203,0.813663716490407,0.812216032065276,0.810804643315045,0.809428205776587,0.808085440401009,0.806775129633899,0.805496113773323,0.804247287582926,0.803027597139591,0.801836036896972,0.800671646947903,0.799533510470164,0.79842075134149,0.797332531910908,0.796268050914594,0.795226541525479,0.794207269526701,0.793209531599851,0.792232653719706,0.791275989647802
1926-07-01,0.868185354993622,1.02487486273806,1.18459148289581,1.33143433275704,1.44674429329552,1.51700549940082,1.54035989186426,1.52572958696851,1.48640644831004,1.43432860734758,1.37783147874885,1.32184992044403,1.2689214273217,1.22012602201651,1.17573841616944,1.13562425104428,1.09946362535607,1.06687075247883,1.03745476205585,1.01084835489373,0.986719414449913,0.964773888644683,0.944754434418555,0.926437209426224,0.909628045968319,0.894158621545467,0.8798829089983,0.866674015418184,0.854421430735903,0.843028664635648,0.832411232603032,0.822494946711029,0.813214467777643,0.804512079358597,0.796336648861977,0.788642745976009,0.781389893156777,0.774541926958287,0.768066452465006,0.761934376033534,0.75611950402047,0.750598197231183,0.745349072531476,0.740352744477827,0.735591600991661,0.731049608071161,0.726712139335996,0.72256582686538,0.718598430342441,0.714798721977807,0.711156385069003,0.707661924373074,0.70430658673868,0.70108229066977,0.697981563683146,0.694997486482792,0.692123643109717,0.689354076341328,0.686683247712398,0.684106001613208,0.681617532991863,0.679213358248903,0.676889288964809,0.674641408146151,0.672466048715016,0.670359774000017,0.668319360016257,0.666341779346888,0.664424186460875,0.662563904320653,0.660758412150106,0.659005334247825,0.657302429743439,0.655647583205964,0.654038796023025,0.652474178478443,0.65095194246335,0.649470394762742,0.648027930865389,0.646623029250269,0.645254246107464,0.643920210455567,0.642619619621433,0.641351235051374,0.640113878425892,0.638906428052675,0.637727815514946,0.636577022554399,0.635453078169828,0.634355055914298,0.633282071375221,0.632233279823102,0.631207874015965,0.630205082147591,0.629224165928728,0.628264418791351,0.627325164206884,0.626405754110054,0.625505567420739,0.624624008656783,0.623760506631333
1926-08-01,0.838810209094382,1.00772275158328,1.17972695460387,1.33457304084054,1.4495255046994,1.51087064909332,1.52094499313912,1.49370209604654,1.44524215984796,1.38793269484312,1.32935067219621,1.27343382860215,1.22188796712766,1.17520725260827,1.13328781563655,1.09576349664002,1.0621785959186,1.03207172571475,1.00501318833849,0.980618861507544,0.958552676150878,0.938523914406093,0.920282470695213,0.903613613560006,0.888332959496456,0.874281950816375,0.861323922353437,0.84934074429657,0.838229986969246,0.827902539927923,0.818280617711027,0.809296090394211,0.800889084990911,0.793006811830904,0.78560257752447,0.778634952666415,0.772067067999415,0.765866017403805,0.760002349921031,0.754449636170766,0.749184097101212,0.744184285119218,0.739430809367799,0.734906098325077,0.73059419404971,0.726480573341632,0.722551991862423,0.718796347898386,0.715202562976902,0.711760476983471,0.708460755789497,0.705294809702914,0.702254721305889,0.69933318145499,0.696523432396511,0.693819217098913,0.691214734030341,0.688704596715897,0.686283797499849,0.683947675015008,0.681691884927216,0.679512373579093,0.677405354205323,0.67536728543319,0.673394851817655,0.671484946191074,0.669634653634218,0.667841236898338,0.666102123128029,0.664414891752087,0.662777263424746,0.661187089912977,0.659642344837119,0.658141115182362,0.656681593507498,0.655262070785291,0.65388092981572,0.652536639159523,0.651227747544866,0.649952878704781,0.64871072660729,0.647500051043897,0.646319673545534,0.645168473598008,0.644045385131739,0.6429493932629,0.641879531265289,0.640834877754119,0.639814554064683,0.638817721810375,0.637843580605941,0.636891365943099,0.635960347206778,0.635049825821283,0.634159133516552,0.633287630705576,0.632434704964754,0.631599769609668,0.630782262359361,0.629981644082801,0.629197397621682
1926-09-01,1.04124951115647,1.22391611479092,1.39346492735405,1.52607814558654,1.60459266543076,1.62760240129507,1.60748570299847,1.56107340646202,1.50239784704394,1.44056456815334,1.38056167917167,1.32471383638239,1.27384216405192,1.22799634671957,1.18686822017458,1.15001043619413,1.11694591532802,1.08721898750286,1.06041643107105,1.03617350374427,1.01417286754022,0.994140467286375,0.975840397196485,0.959069733567164,0.943653767016702,0.929441792316862,0.91630347945781,0.904125788348929,0.892810365692382,0.882271357208076,0.872433571664895,0.863230939989705,0.85460522052557,0.846504909076036,0.838884319183256,0.83170280397878,0.824924095923606,0.818515744901343,0.812448638554046,0.806696591565999,0.801235992908855,0.796045501951762,0.791105785888162,0.786399292200034,0.781910050922248,0.777623502326687,0.773526346352328,0.76960641069123,0.765852534924105,0.762254468500842,0.758802780696006,0.755488780948777,0.752304448230817,0.74924236828208,0.746295677720033,0.743458014167452,0.74072347166221,0.738086560712783,0.735542172448624,0.733085546387323,0.730712241402771,0.728418109531859,0.726199272303122,0.724052099310171,0.721973188786823,0.71995934997028,0.718007587064245,0.716115084635997,0.714279194300762,0.712497422563505,0.710767419702982,0.709086969595708,0.707453980388814,0.705866475940622,0.704322587956504,0.702820548755265,0.701358684608047,0.699935409597775,0.698549219952453,0.697198688810327,0.695882461379126,0.694599250455305,0.693347832272525,0.692127042651576,0.690935773426587,0.689772969124718,0.688637623878672,0.687528778553235,0.686445518068799,0.6853869689063,0.684352296779451,0.683340704461333,0.682351429753575,0.681383743587349,0.680436948246317,0.679510375702525,0.678603386056959,0.677715366077189,0.676845727825129,0.675993907368517,0.675159363570219
1926-10-01,1.02079919327089,1.15029076459372,1.26277450563629,1.3489885402115,1.40429798771577,1.4298236340752,1.43094630120329,1.41465704562319,1.38745281150272,1.35437354107892,1.31889782146072,1.28322824106767,1.24865551190933,1.21586857510197,1.18518019755136,1.1566782097338,1.13032211809144,1.10600286896141,1.0835788837294,1.06289722935806,1.04380564507336,1.0261590244406,1.0098225837614,0.994673086445949,0.980598958011114,0.967499796416623,0.95528557982823,0.943875749844269,0.93319827253871,0.923188733742839,0.913789497352242,0.904948939052196,0.896620758353831,0.888763366540248,0.881339345376269,0.874314970211859,0.867659790774462,0.861346263110789,0.85534942656701,0.849646620245273,0.844217233960306,0.839042489294756,0.834105246890764,0.829389836605904,0.824881907600389,0.820568295809713,0.816436906595948,0.812476610665934,0.808677151600234,0.805029063557702,0.801523597911169,0.798152657734084,0.794908739199572,0.791784879075439,0.788774607603846,0.785871906145173,0.783071169044009,0.780367169242941,0.777755027228482,0.775230182944336,0.772788370351252,0.77042559435111,0.768138109826209,0.765922402573801,0.76377517194132,0.761693314989918,0.759673912033356,0.757714213416335,0.755811627411306,0.753963709125955,0.752168150325148,0.750422770081343,0.748725506176515,0.747074407186608,0.745467625186624,0.743903409020735,0.742380098087374,0.740896116594229,0.73944996824248,0.73804023130357,0.73666555405531,0.735324650547271,0.734016296668242,0.732739326491046,0.731492628872291,0.730275144286643,0.729085861877087,0.727923816704236,0.726788087179285,0.725677792666526,0.724592091242554,0.72353017760041,0.72249128108787,0.721474663870032,0.720479619207127,0.719505469839257,0.71855156647042,0.717617286344796,0.716702031908847,0.715805229553258,0.714926328429259
