"Allocation","Num","mean","std","rrr","sharpe1","sharpe2","sharpe3","sharpe4","sharpe5","sharpe6","type"
"Large_Cap: 0%,  Fixed: 100%",0,6.76826769453321,4.2291455197404,1.60038657051193,1.56484874289158,-0.0659577876767334,0.672426378381608,1.66263397298882,-0.0915832384305141,0.964124889777957,"360 Months"
"Large_Cap: 1%,  Fixed: 99%",1,6.95309299390598,4.20131273195267,1.65498105890212,1.6192078008633,-0.0224024701033219,0.720873331286856,1.72065639231845,-0.0310769568035702,1.03434404824624,"360 Months"
"Large_Cap: 2%,  Fixed: 98%",2,7.13791829327875,4.17553844483345,1.70946056121475,1.67346648609185,0.0217230706168514,0.769586880036869,1.77847375591846,0.030090648335053,1.10444124344225,"360 Months"
"Large_Cap: 3%,  Fixed: 97%",3,7.32274359265152,4.15186099538314,1.7637256162464,1.72752627223439,0.0663632082527943,0.818491974414608,1.835964866357,0.0917436720163654,1.17416786540327,"360 Months"
"Large_Cap: 4%,  Fixed: 96%",4,7.50756889202429,4.13031644475006,1.8176740190372,1.7812858520596,0.111457831719209,0.867509850857382,1.89300566340877,0.153697209896762,1.2432699627231,"360 Months"
"Large_Cap: 5%,  Fixed: 95%",5,7.69239419139706,4.11093832727381,1.87120155521727,1.83464186190716,0.156942615835023,0.916558508638682,1.94947027555896,0.215759967721958,1.31149238170257,"360 Months"
"Large_Cap: 6%,  Fixed: 94%",6,7.87721949076983,4.09375740800699,1.92420280580446,1.8874896766464,0.202749364768944,0.965553257746364,2.00523216070001,0.277737121602137,1.3785831443131,"360 Months"
"Large_Cap: 7%,  Fixed: 93%",7,8.0620447901426,4.07880145246891,1.9765720111879,1.93972426407068,0.248806426395201,1.01440733247576,2.06016531634146,0.339433332817855,1.44429790170998,"360 Months"
"Large_Cap: 8%,  Fixed: 92%",8,8.24687008951537,4.06609501239213,2.02820398057144,1.99124108521266,0.295039173723426,1.06303256251926,2.11414553606958,0.400655810054593,1.5084042871891,"360 Months"
"Large_Cap: 9%,  Fixed: 91%",9,8.43169538888814,4.05565923112691,2.07899503098669,2.04193702490265,0.341370547476986,1.11134009121136,2.167051686075,0.461217307866074,1.57068599165022,"360 Months"
"Large_Cap: 10%,  Fixed: 90%",10,8.61652068826091,4.04751167216808,2.12884393824253,2.09171133514335,0.387721651866675,1.15924112868641,2.21876697351799,0.520938953270024,1.63094639644652,"360 Months"
"Large_Cap: 11%,  Fixed: 89%",11,8.80134598763368,4.04166617396044,2.17765288096746,2.14046657264981,0.434012393739225,1.20664772613059,2.26918017748914,0.579652802437929,1.68901162221584,"360 Months"
"Large_Cap: 12%,  Fixed: 88%",12,8.98617128700645,4.03813273373008,2.22532835831421,2.18810951129452,0.480162153668771,1.25347355615166,2.31818681346112,0.637204045509546,1.7447328858228,"360 Months"
"Large_Cap: 13%,  Fixed: 87%",13,9.17099658637922,4.03691742258817,2.27178206199211,2.23455201026478,0.526090476292021,1.29963468362704,2.36569020345977,0.693452798133514,1.79798809775665,"360 Months"
"Large_Cap: 14%,  Fixed: 86%",14,9.35582188575199,4.03802233357575,2.31693168409676,2.27971181950804,0.571717766337715,1.3450503112738,2.41160242668082,0.748275441533569,1.84868267545924,"360 Months"
"Large_Cap: 15%,  Fixed: 85%",15,9.54064718512476,4.04144556368194,2.36070164370414,2.32351330549849,0.616965976420297,1.38964348463543,2.45584512883788,0.801565496730987,1.8967495902214,"360 Months"
"Large_Cap: 16%,  Fixed: 84%",16,9.72547248449753,4.0471812301946,2.40302371733175,2.36588808245071,0.661759272784159,1.43334174219157,2.49835017297463,0.853234041140622,1.9421487029875,"360 Months"
"Large_Cap: 17%,  Fixed: 83%",17,9.9102977838703,4.055219521057,2.44383756105198,2.40677553674442,0.706024665798063,1.476077697827,2.53906011957883,0.903209695539634,1.98486547493765,"360 Months"
"Large_Cap: 18%,  Fixed: 82%",18,10.0951230832431,4.06554677822936,2.48309111514878,2.44612323538738,0.749692593081478,1.51778954487523,2.57792852932909,0.951438225271937,2.02490916039263,"360 Months"
"Large_Cap: 19%,  Fixed: 81%",19,10.2799483826158,4.07814561241598,2.52074088559231,2.48388721268658,0.792697444641376,1.55842147328461,2.61492008740021,0.997881810889141,2.06231060181837,"360 Months"
"Large_Cap: 20%,  Fixed: 80%",20,10.4647736819886,4.09299504693708,2.55675210010814,2.52003213276433,0.834978021233577,1.59792399402915,2.65001055366607,1.04251805011915,2.09711974990269,"360 Months"
"Large_Cap: 21%,  Fixed: 79%",21,10.6495989813614,4.11007068802015,2.59109874007821,2.5545313289872,0.876477919244357,1.6362541675787,2.68318654811187,1.08533875538957,2.12940302702502,"360 Months"
"Large_Cap: 22%,  Fixed: 78%",22,10.8344242807342,4.12934491837151,2.62376345277714,2.58736672461979,0.917145837613745,1.67337573593001,2.71444518508454,1.12634860971381,2.15924064163261,"360 Months"
"Large_Cap: 23%,  Fixed: 77%",23,11.0192495801069,4.15078711057624,2.65473735138807,2.61852864194138,0.95693580458701,1.70925916026481,2.74379357350918,1.16556373935721,2.18672394598723,"360 Months"
"Large_Cap: 24%,  Fixed: 76%",24,11.2040748794797,4.17436385666827,2.68401971274783,2.64801550956324,0.995807324285143,1.74388156863845,2.77124820278069,1.20301025519361,2.21195291233868,"360 Months"
