Allocation,Spread_num,STD_DEV,RRR_mean,RRR_std,Annual_RRR_mean,Annual_RRR_std,Arith_Mean,Arith_STD_DEV,Arith_Sharpe_with,Arith_Sharpe_without,Geom_Mean,Geom_STD_DEV,Geom_Sharpe_with,Geom_Sharpe_without
Folio 0/100,0,0.0602253826278365,19.3998090624194,8.85173473977037,0.0996357508907771,0.0187635497167093,0.0598438691036347,0.0259472629584756,0.0559056241603654,2.15458656467287,0.0580066784160717,0.0249552949431671,0.95529528182127,2.15555652864503
Folio 1/99,1,0.0599146548265928,19.7286135550499,8.74792406193166,0.100531050760243,0.0181068447340385,0.0605130634441093,0.0256708831296252,0.0565748185008401,2.20385166397141,0.0586939707600537,0.0246849222287217,0.977332721121049,2.20700882823116
Folio 2/98,2,0.0596739319320296,20.0296298297179,8.69927733030609,0.101284678505897,0.0176207591237845,0.061182257784584,0.0253950770346497,0.0572440128413148,2.25413818446818,0.059378110670275,0.0244158954149316,0.997477119432139,2.25934704649308
Folio 3/97,3,0.059503608220287,20.3563553232464,8.55277188383642,0.102167305784643,0.0168974709204677,0.0618514521250587,0.0251198635716642,0.0579132071817895,2.30547459051955,0.0600591047565701,0.0241482231413468,1.01554924053626,2.31259148768947
Folio 4/96,4,0.0594034004544924,20.6212732783095,8.39423338400364,0.102885932824692,0.0162736779729263,0.0625206464655334,0.0248452624346086,0.0585824015222641,2.35789022862809,0.0607369593907712,0.0238819149977216,1.03144619418386,2.36676287973967
Folio 5/95,5,0.0593724192977204,20.8849320423377,8.23713617783609,0.103571545799498,0.0157042514540318,0.0631898408060081,0.0245712941529835,0.0592515958627388,2.41141534889583,0.0614116807110789,0.0236169815526393,1.04513898128109,2.42188236911339
Folio 6/94,6,0.0594092683240123,21.0913126326014,8.18512111340328,0.104037737133716,0.0154279935675023,0.0638590351464827,0.0242979801338017,0.0599207902032135,2.46608112580748,0.0620832746261749,0.0233534343841752,1.05666369013637,2.47797151361697
Folio 7/93,7,0.0595121544514472,21.2785596097941,8.14095288746952,0.104456237003622,0.0151728587657681,0.0645282294869574,0.024025342705883,0.0605899845436882,2.52191967812604,0.0627517468190921,0.0230912861126523,1.0661089806249,2.53505227281179
Folio 8/92,8,0.0596789968038506,21.5169291394734,8.06350873788226,0.105000271301434,0.0147945702459044,0.0651974238274321,0.023753405166627,0.0612591788841629,2.57896408765134,0.0634171027508544,0.0228305504355483,1.07360213071254,2.59314699577312
Folio 9/91,9,0.0599075253630797,21.815602480076,8.08881326377195,0.105574944600802,0.0146055486305091,0.0658666181679068,0.0234821918314088,0.0619283732246375,2.6372484165556,0.0640793476638985,0.0225712421646168,1.07929534239923,2.65227840586812
Folio 10/90,10,0.06019536476199,22.0836081098574,8.0628354593599,0.1061176093721,0.0143387322847187,0.0665358125083814,0.0232117280857444,0.0625975675651122,2.69680772296988,0.06473848658529,0.0223133772652852,1.08335347866187,2.71246958219935
Folio 11/89,11,0.0605401015866107,22.382166002699,7.94684939510501,0.106758488583295,0.0139213614885484,0.0672050068488561,0.022942040440386,0.0632667619055869,2.75767807444953,0.0653945243297416,0.0220569728983979,1.08594395817326,2.77374393732514
Folio 12/88,12,0.0609393355879066,22.6289566301172,7.84555078488645,0.107286945099178,0.0135481038507299,0.0678742011893308,0.022673156589509,0.0639359562460616,2.81989655889578,0.066047465502445,0.0218020474643708,1.0872291368901,2.83612519083028
Folio 13/87,13,0.0613907164372024,22.8931862114656,7.81013890943007,0.107794573803187,0.0133088271451987,0.0685433955298055,0.0224051054721641,0.0646051505865362,2.88350129245323,0.0666973145017247,0.0215486206498267,1.08736115770452,2.89963733827955
Folio 14/86,14,0.0618919682941786,23.0706068527227,7.77930004344409,0.108132803163808,0.0131488847761639,0.0692125898702802,0.0221379173371734,0.0652743449270109,2.94853142383923,0.0673440755215199,0.02129671347678,1.0864789851856,2.96430461504239
Folio 15/85,15,0.0624409046562559,23.3738110341782,7.70421147408787,0.108720060141669,0.0128183894290733,0.0698817842107548,0.0218716238116552,0.0659435392674856,3.01502713448943,0.0679877525537048,0.0210463483544379,1.08470718828861,3.03015145442994
Folio 16/84,16,0.0630354358593431,23.5578005585517,7.6756984145867,0.109067525471551,0.012625052785999,0.0705509785512295,0.0216062579733724,0.0666127336079603,3.08302963382432,0.0686283493902507,0.0207975491336842,1.08215598748515,3.09720243953449
Folio 17/83,17,0.0636735713189116,23.7393364286431,7.53503481180727,0.109461768568987,0.0122614880851038,0.0712201728917042,0.0213418544271016,0.067281927948435,3.15258114885251,0.069265869625239,0.0205503411643068,1.07892211763611,3.16548224810786
Folio 18/82,18,0.0643534182329937,23.9075578890065,7.44757102482747,0.109798935243496,0.0120044685601272,0.0718893672321789,0.0210784493852273,0.0679511222889096,3.22372490722837,0.0699003166567289,0.0203047513550281,1.07509013886974,3.2350155897574
Folio 19/81,19,0.0650731780861367,24.1241760838596,7.35169592419182,0.110216970584208,0.0117148878162345,0.0725585615726536,0.0208160807527714,0.0686203166293843,3.29650511277193,0.0705316936884851,0.0200608082363867,1.07073392372727,3.30582713467803
Folio 20/80,20,0.0658311419413114,24.2902973936188,7.28274491500477,0.110531900386671,0.0114998868640629,0.0732277559131282,0.0205547882170682,0.069289510969859,3.37096691233835,0.0711600037315712,0.0198185420265159,1.06591813905178,3.37794143307498
Folio 21/79,21,0.0666256852089434,24.6255579453635,7.23996277682996,0.111109253509611,0.0112522767963686,0.0738969502536029,0.0202946133423002,0.0699587053103337,3.44715635279034,0.0717852496058125,0.0195779846998488,1.06069961497414,3.45138282436542
